ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	INFOMAPID
30298	Minangkabau	?	rain		ujan	u j a n	V J V N	u y a n	Y J A N	1	729	rain:763	763
15991	NakanaiBilekiDialect	?	rain		hura	h u r a	H V R V	h u r a	H Y R A	1	729	rain:767	767
27961	Niue	?	rain		uha	u h a	V H V	u h a	Y H A	1	729	rain:763	763
62903	Ogan	?	rain		ujan	u j a n	V J V N	u y a n	Y J A N	1	729	rain:763	763
27883	Penrhyn	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
32529	RapanuiEasterIsland	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
27019	Rarotongan	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
33598	Rennellese	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
6325	Rurutuan	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
55395	Sikaiana	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
61609	Surigaonon	?	rain		uyan	uya n	V N	u n	Y N	1	729	rain:763	763
14826	Tagalog	?	rain		ulan	u l a n	V R V N	u l a n	Y L A N	1	729	rain:763	763
51308	TagalogAnthonydelaPaz	?	rain		ulan	u l a n	V R V N	u l a n	Y L A N	1	729	rain:763	763
59959	TahitianModern	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
66378	Tikopia	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
47325	Tongan	?	rain		ʔuha	ʔ u h a	H V H V	7 u h a	H Y H A	1	729	rain:767	767
20592	Tuamotu	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
22313	UveaEast	?	rain		ua	ua	V	u	Y	1	729	rain:764	764
33826	WesternBukidnonManobo	?	rain		uzan	u z a n	V S V N	u z a n	Y S A N	1	729	rain:763	763
34584	Woleai	?	rain		uta	u t a	V T V	u t a	Y T A	1	729	rain:766	766
28866	Yami	?	rain		cimoy	c i m oy	K V M V	T i m o	C I M U	12	730	rain:765	765
60918	Anuta	?	rat		kumaa	k u m aa	K V M V	k u m a	K Y M A	13	733	rat:770	770
60919	Anuta	?	rat		kiore	k io r e	K V R V	k i r e	K I R E	12	732	rat:769	769
57781	BanjareseMalay	?	rat		tikus	t i k u s	T V K V S	t i k u s	T I K Y S	22	736	rat:772	772
65891	Carolinian	?	rat		gheesch	g h ee s c h	K H V S K H	g h e s T h	K H E S C H	16	735	rat:773	773
44139	Cebuano	?	rat		ilaga	i l a g a	V R V K V	i l a g a	I L A K A	30	740	rat:769	769
29847	Chuukese	?	rat		nakkich	n a kk i c h	N V K V K H	n a k i T h	N A K I C H	16	735	rat:773	773
29722	ChuukeseAKATrukese	?	rat		kkich	kk i c h	K V K H	k i T h	K I C H	16	735	rat:773	773
12482	DayakNgaju	?	rat		balawaw	b a l a w a w	P V R V W V W	b a l a w a w	P A L A W A W	1	731	rat:774	774
60243	EastSumbaneseKamberaSoutherndialect	?	rat		kalau	k a l au	K V R V	k a l a	K A L A	1	731	rat:774	774
62174	EastSumbaneseUmbuRatuNggaidialect	?	rat		alawu	a l a w u	V R V W V	a l a w u	A L A W Y	1	731	rat:774	774
60251	FutunaEast	?	rat		kimoa	k i m oa	K V M V	k i m o	K I M U	14	734	rat:770	770
6307	Imorod	?	rat		karam	k a r a m	K V R V M	k a r a m	K A R A M	24	737	rat:771	771
13924	Indonesian	?	rat		tikus	t i k u s	T V K V S	t i k u s	T I K Y S	22	736	rat:772	772
49661	Iraralay	?	rat		karam	k a r a m	K V R V M	k a r a m	K A R A M	24	737	rat:771	771
18008	Isamorong	?	rat		karam	k a r a m	K V R V M	k a r a m	K A R A M	24	737	rat:771	771
49713	Itbayat	?	rat		karam	k a r a m	K V R V M	k a r a m	K A R A M	24	737	rat:771	771
30658	Itbayaten	?	rat		karam	k a r a m	K V R V M	k a r a m	K A R A M	24	737	rat:771	771
41911	Ivasay	?	rat		karam	k a r a m	K V R V M	k a r a m	K A R A M	24	737	rat:771	771
56370	Katingan	?	rat		balawau	b a l a w au	P V R V W V	b a l a w a	P A L A W A	1	731	rat:774	774
42552	Lakalai	?	rat		kusuke	k u s u k e	K V S V K V	k u s u k e	K Y S Y K E	3	739	rat:775	775
58215	Luangiua	?	rat		iole	io l e	V R V	i l e	I L E	12	732	rat:769	769
943	MalayBahasaIndonesia	?	rat		tikus	t i k u s	T V K V S	t i k u s	T I K Y S	22	736	rat:772	772
42511	Maori	?	rat		kiore	k io r e	K V R V	k i r e	K I R E	12	732	rat:769	769
42338	Marquesan	?	rat		kumakuma	k u m a k u m a	K V M V K V M V	k u m a k u m a	K Y M A K Y M A	13	733	rat:770	770
42339	Marquesan	?	rat		kioe	k ioe	K V	k i	K I	12	732	rat:769	769
61715	Minangkabau	?	rat		manciʔ	m a n c i ʔ	M V N K V H	m a n T i 7	M A N C I H	28	738	rat:776	776
8491	NakanaiBilekiDialect	?	rat		kusuke	k u s u k e	K V S V K V	k u s u k e	K Y S Y K E	3	739	rat:775	775
22781	Niue	?	rat		kumaa	k u m aa	K V M V	k u m a	K Y M A	13	733	rat:770	770
33277	Ogan	?	rat		tikus	t i k u s	T V K V S	t i k u s	T I K Y S	22	736	rat:772	772
48098	Penrhyn	?	rat		kire	k i r e	K V R V	k i r e	K I R E	12	732	rat:769	769
28942	RapanuiEasterIsland	?	rat		kioe	k ioe	K V	k i	K I	12	732	rat:769	769
2822	Rarotongan	?	rat		kiore	k io r e	K V R V	k i r e	K I R E	12	732	rat:769	769
16330	Rennellese	?	rat		kioge	k io g e	K V K V	k i g e	K I K E	12	732	rat:769	769
53052	Rurutuan	?	rat		ʔiore	ʔ io r e	H V R V	7 i r e	H I R E	12	732	rat:769	769
11727	Samoan	?	rat		ʔimoa	ʔ i m oa	H V M V	7 i m o	H I M U	14	734	rat:770	770
11579	Sikaiana	?	rat		kiole	k io l e	K V R V	k i l e	K I L E	12	732	rat:769	769
3224	Surigaonon	?	rat		ambaw	a m b a w	V M P V W	a m b a w	A M P A W	38	741	rat:774	774
54814	Tagalog	?	rat		daga	d a g a	T V K V	d a g a	T A K A	39	742	rat:772	772
59071	TagalogAnthonydelaPaz	?	rat		daga	d a g a	T V K V	d a g a	T A K A	39	742	rat:772	772
325	TahitianModern	?	rat		iore	io r e	V R V	i r e	I R E	12	732	rat:769	769
41290	Tikopia	?	rat		kumari	k u m a r i	K V M V R V	k u m a r i	K Y M A R I	13	733	rat:770	770
41291	Tikopia	?	rat		kiore	k io r e	K V R V	k i r e	K I R E	12	732	rat:769	769
32593	Tongan	?	rat		kuma	k u m a	K V M V	k u m a	K Y M A	13	733	rat:770	770
7829	Tuamotu	?	rat		kiore	k io r e	K V R V	k i r e	K I R E	12	732	rat:769	769
61654	UveaEast	?	rat		kuma	k u m a	K V M V	k u m a	K Y M A	13	733	rat:770	770
61398	WesternBukidnonManobo	?	rat		rumat	r u m a t	R V M V T	r u m a t	R Y M A T	44	743	rat:770	770
63334	Woleai	?	rat		geshɪ	g e s h ɪ	K V S H V	g e s h i	K E S H I	16	735	rat:773	773
25898	Yami	?	rat		karam	k a r a m	K V R V M	k a r a m	K A R A M	24	737	rat:771	771
9400	Anuta	?	red		mero	m e r o	M V R V	m e r o	M E R U	16	748	red:778	778
9401	Anuta	?	red		oata	oa t a	V T V	o t a	U T A	15	747	red:784	784
36191	BanjareseMalay	?	red		habang	h a b a n g	H V P V N K	h a b a n g	H A P A N K	33	755	red:790	790
17955	Carolinian	?	red		parapar	p a r a p a r	P V R V P V R	p a r a p a r	P A R A P A R	17	749	red:783	783
2353	Cebuano	?	red		pula	p u l a	P V R V	p u l a	P Y L A	28	752	red:781	781
7175	Chuukese	?	red		par	p a r	P V R	p a r	P A R	17	749	red:783	783
50659	ChuukeseAKATrukese	?	red		parapar	p a r a p a r	P V R V P V R	p a r a p a r	P A R A P A R	17	749	red:783	783
224	DayakNgaju	?	red		randang	r a n d a n g	R V N T V N K	r a n d a n g	R A N T A N K	27	751	red:787	787
20371	EastSumbaneseKamberaSoutherndialect	?	red		rara	r a r a	R V R V	r a r a	R A R A	5	758	red:788	788
786	EastSumbaneseUmbuRatuNggaidialect	?	red		rara	r a r a	R V R V	r a r a	R A R A	5	758	red:788	788
20815	FutunaEast	?	red		me/melo	m e m e l o	M V M V R V	m e m e l o	M E M E L U	16	748	red:778	778
20816	FutunaEast	?	red		soata	s oa t a	S V T V	s o t a	S U T A	15	747	red:784	784
20817	FutunaEast	?	red		kula	k u l a	K V R V	k u l a	K Y L A	13	745	red:777	777
20818	FutunaEast	?	red		mea	m ea	M V	m e	M E	1	744	red:778	778
48903	Imorod	?	red		mabazangbang	m a b a z a n g b a n g	M V P V S V N K P V N K	m a b a z a n g b a n g	M A P A S A N K P A N K	30	754	red:782	782
48904	Imorod	?	red		mivala	m i v a l a	M V W V R V	m i v a l a	M I B A L A	29	753	red:779	779
48692	Indonesian	?	red		merah	m e r a h	M V R V H	m e r a h	M E R A H	1	744	red:780	780
7524	Iraralay	?	red		mabazangbang	m a b a z a n g b a n g	M V P V S V N K P V N K	m a b a z a n g b a n g	M A P A S A N K P A N K	30	754	red:782	782
54010	Isamorong	?	red		mavaya	m a v aya	M V W V	m a v a	M A B A	29	753	red:779	779
18302	Itbayat	?	red		mavayah	m a v aya h	M V W V H	m a v a h	M A B A H	29	753	red:779	779
24557	Itbayaten	?	red		mavayah	m a v aya h	M V W V H	m a v a h	M A B A H	29	753	red:779	779
54333	Ivasay	?	red		mavaya	m a v aya	M V W V	m a v a	M A B A	29	753	red:779	779
34912	Katingan	?	red		bahandaŋ	b a h a n d a ŋ	P V H V N T V N	b a h a n d a N	P A H A N T A N	27	751	red:787	787
27090	Lakalai	?	red		magegese	m a g e g e s e	M V K V K V S V	m a g e g e s e	M A K E K E S E	23	750	red:786	786
48376	Luangiua	?	red		mea	m ea	M V	m e	M E	1	744	red:778	778
64749	MalayBahasaIndonesia	?	red		merah	m e r a h	M V R V H	m e r a h	M E R A H	1	744	red:780	780
33709	Maori	?	red		whero	w h e r o	W H V R V	w h e r o	W H E R U	36	756	red:789	789
60604	Marquesan	?	red		kuwa	k u w a	K V W V	k u w a	K Y W A	13	745	red:793	793
60605	Marquesan	?	red		pukiki	p u k i k i	P V K V K V	p u k i k i	P Y K I K I	43	757	red:791	791
33528	Minangkabau	?	red		sirah	s i r a h	S V R V H	s i r a h	S I R A H	1	744	red:780	780
2332	NakanaiBilekiDialect	?	red		magegese	m a g e g e s e	M V K V K V S V	m a g e g e s e	M A K E K E S E	23	750	red:786	786
31644	Niue	?	red		kula	k u l a	K V R V	k u l a	K Y L A	13	745	red:777	777
47805	Ogan	?	red		mixah	m i x a h	M V K V H	m i x a h	M I G A H	1	744	red:780	780
15300	Penrhyn	?	red		kura	k u r a	K V R V	k u r a	K Y R A	13	745	red:777	777
41601	RapanuiEasterIsland	?	red		mea	m ea	M V	m e	M E	1	744	red:778	778
41602	RapanuiEasterIsland	?	red		herohero	h e r o h e r o	H V R V H V R V	h e r o h e r o	H E R U H E R U	36	756	red:789	789
10834	Rarotongan	?	red		ute	u t e	V T V	u t e	Y T E	14	746	red:785	785
10835	Rarotongan	?	red		kura	k u r a	K V R V	k u r a	K Y R A	13	745	red:777	777
11445	Rennellese	?	red		kuga	k u g a	K V K V	k u g a	K Y K A	13	745	red:777	777
11446	Rennellese	?	red		mea	m ea	M V	m e	M E	1	744	red:778	778
41517	Rurutuan	?	red		ʔuraʔura	ʔ u r a ʔ u r a	H V R V H V R V	7 u r a 7 u r a	H Y R A H Y R A	13	745	red:777	777
56213	Samoan	?	red		ʔula	ʔ u l a	H V R V	7 u l a	H Y L A	13	745	red:777	777
11247	Sikaiana	?	red		mea	m ea	M V	m e	M E	1	744	red:778	778
19040	Surigaonon	?	red		puya	p uya	P V	p u	P Y	28	752	red:781	781
45396	Tagalog	?	red		pula	p u l a	P V R V	p u l a	P Y L A	28	752	red:781	781
19289	TagalogAnthonydelaPaz	?	red		pula	p u l a	P V R V	p u l a	P Y L A	28	752	red:781	781
32530	TahitianModern	?	red		uteute	u t eu t e	V T V T V	u t e t e	Y T E T E	14	746	red:785	785
51126	Tikopia	?	red		mero	m e r o	M V R V	m e r o	M E R U	16	748	red:778	778
51127	Tikopia	?	red		mea	m ea	M V	m e	M E	1	744	red:778	778
22618	Tongan	?	red		kulokula	k u l o k u l a	K V R V K V R V	k u l o k u l a	K Y L U K Y L A	13	745	red:777	777
18418	Tuamotu	?	red		kura	k u r a	K V R V	k u r a	K Y R A	13	745	red:777	777
18419	Tuamotu	?	red		mea	m ea	M V	m e	M E	1	744	red:778	778
52259	UveaEast	?	red		kula	k u l a	K V R V	k u l a	K Y L A	13	745	red:777	777
19621	WesternBukidnonManobo	?	red		riǥeq	r i ǥ e q	R V K V K	r i x e q	R I K E K	1	744	red:792	792
48745	Yami	?	red		mabazangbang	m a b a z a n g b a n g	M V P V S V N K P V N K	m a b a z a n g b a n g	M A P A S A N K P A N K	30	754	red:782	782
48746	Yami	?	red		mivalah	m i v a l a h	M V W V R V H	m i v a l a h	M I B A L A H	29	753	red:779	779
60031	Anuta	?	right		tonu	t o n u	T V N V	t o n u	T U N Y	17	760	right:798	798
52458	BanjareseMalay	?	right		kanan	k a n a n	K V N V N	k a n a n	K A N A N	1	759	right:795	795
67334	Carolinian	?	right		peighimwaal	p ei g h i m w aa l	P V K H V M W V R	p e g h i m w a l	P E K H I M W A L	8	765	right:797	797
33805	Cebuano	?	right		tuo	t uo	T V	t u	T Y	5	763	right:796	796
12509	Chuukese	?	right		mwaan	m w aa n	M W V N	m w a n	M W A N	8	765	right:797	797
22189	DayakNgaju	?	right		gantau	g a n t au	K V N T V	g a n t a	K A N T A	5	763	right:794	794
38684	EastSumbaneseKamberaSoutherndialect	?	right		kawana	k a w a n a	K V W V N V	k a w a n a	K A W A N A	1	759	right:795	795
51184	EastSumbaneseUmbuRatuNggaidialect	?	right		awana	a w a n a	V W V N V	a w a n a	A W A N A	1	759	right:795	795
23569	FutunaEast	?	right		atamai	a t a m ai	V T V M V	a t a m a	A T A M A	7	764	right:794	794
44373	Imorod	?	right		wanan	w a n a n	W V N V N	w a n a n	W A N A N	1	759	right:795	795
31930	Indonesian	?	right		kanan	k a n a n	K V N V N	k a n a n	K A N A N	1	759	right:795	795
14473	Iraralay	?	right		wanan	w a n a n	W V N V N	w a n a n	W A N A N	1	759	right:795	795
34626	Isamorong	?	right		wanan	w a n a n	W V N V N	w a n a n	W A N A N	1	759	right:795	795
2794	Itbayat	?	right		wanan	w a n a n	W V N V N	w a n a n	W A N A N	1	759	right:795	795
60749	Itbayaten	?	right		wanan	w a n a n	W V N V N	w a n a n	W A N A N	1	759	right:795	795
36557	Ivasay	?	right		wanan	w a n a n	W V N V N	w a n a n	W A N A N	1	759	right:795	795
6866	Katingan	?	right		gantauʔ	g a n t au ʔ	K V N T V H	g a n t a 7	K A N T A H	5	763	right:794	794
10225	MalayBahasaIndonesia	?	right		kanan	k a n a n	K V N V N	k a n a n	K A N A N	1	759	right:795	795
39105	Maori	?	right		katau	k a t au	K V T V	k a t a	K A T A	40	762	right:794	794
39106	Maori	?	right		matau	m a t au	M V T V	m a t a	M A T A	5	763	right:794	794
63973	Marquesan	?	right		atamai	a t a m ai	V T V M V	a t a m a	A T A M A	7	764	right:794	794
2168	Niue	?	right		matau	m a t au	M V T V	m a t a	M A T A	5	763	right:794	794
63747	Ogan	?	right		kanan	k a n a n	K V N V N	k a n a n	K A N A N	1	759	right:795	795
2469	Penrhyn	?	right		katau	k a t au	K V T V	k a t a	K A T A	40	762	right:794	794
2470	Penrhyn	?	right		katau	k a t au	K V T V	k a t a	K A T A	5	763	right:794	794
57352	RapanuiEasterIsland	?	right		matau	m a t au	M V T V	m a t a	M A T A	5	763	right:794	794
64075	Rarotongan	?	right		katau	k a t au	K V T V	k a t a	K A T A	40	762	right:794	794
64076	Rarotongan	?	right		katau	k a t au	K V T V	k a t a	K A T A	5	763	right:794	794
63187	Rennellese	?	right		maui	m aui	M V	m a	M A	32	761	right:794	794
4021	Rurutuan	?	right		ʔatau	ʔ a t au	H V T V	7 a t a	H A T A	40	762	right:794	794
4022	Rurutuan	?	right		ʔatau	ʔ a t au	H V T V	7 a t a	H A T A	5	763	right:794	794
29110	Samoan	?	right		taumatau	t au m a t au	T V M V T V	t a m a t a	T A M A T A	5	763	right:794	794
12076	Sikaiana	?	right		atamai	a t a m ai	V T V M V	a t a m a	A T A M A	7	764	right:794	794
25053	Surigaonon	?	right		tuo	t uo	T V	t u	T Y	5	763	right:796	796
22524	Tagalog	?	right		kanan	k a n a n	K V N V N	k a n a n	K A N A N	1	759	right:795	795
4159	TagalogAnthonydelaPaz	?	right		kanan	k a n a n	K V N V N	k a n a n	K A N A N	1	759	right:795	795
13137	TahitianModern	?	right		atau	a t au	V T V	a t a	A T A	40	762	right:794	794
13138	TahitianModern	?	right		atau	a t au	V T V	a t a	A T A	5	763	right:794	794
34313	Tikopia	?	right		matau	m a t au	M V T V	m a t a	M A T A	5	763	right:794	794
45298	Tongan	?	right		mataʔu	m a t a ʔ u	M V T V H V	m a t a 7 u	M A T A H Y	5	763	right:794	794
36107	Tuamotu	?	right		katau	k a t au	K V T V	k a t a	K A T A	40	762	right:794	794
36108	Tuamotu	?	right		katau	k a t au	K V T V	k a t a	K A T A	5	763	right:794	794
56826	UveaEast	?	right		matau	m a t au	M V T V	m a t a	M A T A	5	763	right:794	794
58597	WesternBukidnonManobo	?	right		kewanen	k e w a n e n	K V W V N V N	k e w a n e n	K E W A N E N	1	759	right:795	795
39842	Yami	?	right		wanan	w a n a n	W V N V N	w a n a n	W A N A N	1	759	right:795	795
42404	Anuta	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
24649	BanjareseMalay	?	road/path		jalan	j a l a n	J V R V N	y a l a n	J A L A N	1	766	road/path:800	800
66038	Carolinian	?	road/path		aal	aa l	V R	a l	A L	1	766	road/path:802	802
48055	Cebuano	?	road/path		dalan	d a l a n	T V R V N	d a l a n	T A L A N	1	766	road/path:800	800
41626	Chuukese	?	road/path		aan	aa n	V N	a n	A N	1	766	road/path:802	802
17612	ChuukeseAKATrukese	?	road/path		an	a n	V N	a n	A N	1	766	road/path:802	802
45286	DayakNgaju	?	road/path		karataktanduhan	k a r a t a k t a n d u h a n	K V R V T V K T V N T V H V N	k a r a t a k t a n d u h a n	K A R A T A K T A N T Y H A N	14	767	road/path:803	803
36336	EastSumbaneseKamberaSoutherndialect	?	road/path		anda	a n d a	V N T V	a n d a	A N T A	19	768	road/path:802	802
2515	EastSumbaneseUmbuRatuNggaidialect	?	road/path		larung	l a r u n g	R V R V N K	l a r u n g	L A R Y N K	1	766	road/path:806	806
42582	FutunaEast	?	road/path		ala	a l a	V R V	a l a	A L A	1	766	road/path:799	799
42583	FutunaEast	?	road/path		kauala	k aua l a	K V R V	k a l a	K A L A	4	771	road/path:799	799
49585	Imorod	?	road/path		rarahan	r a r a h a n	R V R V H V N	r a r a h a n	R A R A H A N	1	766	road/path:801	801
60762	Indonesian	?	road/path		jalan	j a l a n	J V R V N	y a l a n	J A L A N	1	766	road/path:800	800
23182	Iraralay	?	road/path		rarahan	r a r a h a n	R V R V H V N	r a r a h a n	R A R A H A N	1	766	road/path:801	801
54737	Isamorong	?	road/path		rarahan	r a r a h a n	R V R V H V N	r a r a h a n	R A R A H A N	1	766	road/path:801	801
16537	Itbayat	?	road/path		raraxan	r a r a x a n	R V R V K V N	r a r a x a n	R A R A G A N	1	766	road/path:801	801
2769	Itbayaten	?	road/path		raraxan	r a r a x a n	R V R V K V N	r a r a x a n	R A R A G A N	1	766	road/path:801	801
56059	Ivasay	?	road/path		rarahan	r a r a h a n	R V R V H V N	r a r a h a n	R A R A H A N	1	766	road/path:801	801
20397	Katingan	?	road/path		karatak	k a r a t a k	K V R V T V K	k a r a t a k	K A R A T A K	14	767	road/path:803	803
48753	Lakalai	?	road/path		gauru	g au r u	K V R V	g a r u	K A R Y	9	772	road/path:804	804
10631	Luangiua	?	road/path		ala	a l a	V R V	a l a	A L A	1	766	road/path:799	799
65459	MalayBahasaIndonesia	?	road/path		jalanan	j a l a n a n	J V R V N V N	y a l a n a n	J A L A N A N	1	766	road/path:800	800
26942	Maori	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
21222	Marquesan	?	road/path		vaa/nui	v aa n ui	W V N V	v a n u	B A N Y	22	769	road/path:807	807
13743	NakanaiBilekiDialect	?	road/path		gauru	g au r u	K V R V	g a r u	K A R Y	9	772	road/path:804	804
50939	Niue	?	road/path		hala	h a l a	H V R V	h a l a	H A L A	1	766	road/path:799	799
50940	Niue	?	road/path		kauhala	k au h a l a	K V H V R V	k a h a l a	K A H A L A	4	771	road/path:799	799
59203	Ogan	?	road/path		jalan	j a l a n	J V R V N	y a l a n	J A L A N	1	766	road/path:800	800
5732	Penrhyn	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
58052	RapanuiEasterIsland	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
66845	Rarotongan	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
2723	Rennellese	?	road/path		aga	a g a	V K V	a g a	A K A	1	766	road/path:799	799
65187	Rurutuan	?	road/path		puruumu	p u r uu m u	P V R V M V	p u r u m u	P Y R Y M Y	3	770	road/path:805	805
65188	Rurutuan	?	road/path		araʔaraʔa	a r a ʔ a r a ʔ a	V R V H V R V H V	a r a 7 a r a 7 a	A R A H A R A H A	1	766	road/path:801	801
34554	Samoan	?	road/path		ala	a l a	V R V	a l a	A L A	1	766	road/path:799	799
44381	Sikaiana	?	road/path		ala	a l a	V R V	a l a	A L A	1	766	road/path:799	799
61816	Surigaonon	?	road/path		dayan	d aya n	T V N	d a n	T A N	1	766	road/path:800	800
12248	Tagalog	?	road/path		daan	d aa n	T V N	d a n	T A N	1	766	road/path:800	800
64435	TagalogAnthonydelaPaz	?	road/path		daan	d aa n	T V N	d a n	T A N	1	766	road/path:800	800
7807	TahitianModern	?	road/path		puruumu	p u r uu m u	P V R V M V	p u r u m u	P Y R Y M Y	3	770	road/path:805	805
7808	TahitianModern	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
5328	Tikopia	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
13565	Tongan	?	road/path		hala	h a l a	H V R V	h a l a	H A L A	1	766	road/path:799	799
44370	Tuamotu	?	road/path		ara	a r a	V R V	a r a	A R A	1	766	road/path:799	799
34089	UveaEast	?	road/path		ala	a l a	V R V	a l a	A L A	1	766	road/path:799	799
34090	UveaEast	?	road/path		kauala	k aua l a	K V R V	k a l a	K A L A	4	771	road/path:799	799
10017	WesternBukidnonManobo	?	road/path		dalan	d a l a n	T V R V N	d a l a n	T A L A N	1	766	road/path:800	800
53909	Woleai	?	road/path		yala	ya l a	V R V	i l a	Y L A	1	766	road/path:799	799
5999	Yami	?	road/path		laɣan	l a ɣ a n	R V K V N	l a x a n	L A G A N	1	766	road/path:801	801
35309	BanjareseMalay	?	root		akar	a k a r	V K V R	a k a r	A K A R	2	774	root:808	808
61689	Carolinian	?	root		waar	w aa r	W V R	w a r	W A R	2	774	root:811	811
22722	Cebuano	?	root		gamut	g a m u t	K V M V T	g a m u t	K A M Y T	3	775	root:809	809
27056	Chuukese	?	root		waar	w aa r	W V R	w a r	W A R	2	774	root:811	811
25003	ChuukeseAKATrukese	?	root		waara	w aa r a	W V R V	w a r a	W A R A	2	774	root:811	811
16528	DayakNgaju	?	root		uhat	u h a t	V H V T	u h a t	Y H A T	1	773	root:810	810
20757	EastSumbaneseKamberaSoutherndialect	?	root		amu	a m u	V M V	a m u	A M Y	3	775	root:809	809
17261	EastSumbaneseUmbuRatuNggaidialect	?	root		amu	a m u	V M V	a m u	A M Y	3	775	root:809	809
51885	FutunaEast	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
49768	Imorod	?	root		yamot	ya m o t	V M V T	i m o t	Y M U T	3	775	root:809	809
17715	Indonesian	?	root		urat	u r a t	V R V T	u r a t	Y R A T	1	773	root:810	810
17716	Indonesian	?	root		akar	a k a r	V K V R	a k a r	A K A R	2	774	root:808	808
51859	Iraralay	?	root		yamot	ya m o t	V M V T	i m o t	Y M U T	3	775	root:809	809
65291	Isamorong	?	root		yamot	ya m o t	V M V T	i m o t	Y M U T	3	775	root:809	809
44094	Itbayat	?	root		yamot	ya m o t	V M V T	i m o t	Y M U T	3	775	root:809	809
28997	Itbayaten	?	root		yamut	ya m u t	V M V T	i m u t	Y M Y T	3	775	root:809	809
12848	Ivasay	?	root		yamot	ya m o t	V M V T	i m o t	Y M U T	3	775	root:809	809
41747	Katingan	?	root		uhat	u h a t	V H V T	u h a t	Y H A T	1	773	root:810	810
66447	Lakalai	?	root		ua	ua	V	u	Y	7	776	root:813	813
14891	Luangiua	?	root		paiaa	p aiaa	P V	p a	P A	2	774	root:812	812
50752	MalayBahasaIndonesia	?	root		akar	a k a r	V K V R	a k a r	A K A R	2	774	root:808	808
52035	Maori	?	root		paki|aka	p a k i|a k a	P V K V K V	p a k i k a	P A K I K A	2	774	root:812	812
32607	Marquesan	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
7865	Minangkabau	?	root		ureʔ	u r e ʔ	V R V H	u r e 7	Y R E H	1	773	root:810	810
28563	NakanaiBilekiDialect	?	root		ua	ua	V	u	Y	7	776	root:813	813
7953	Niue	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
6550	Ogan	?	root		akax	a k a x	V K V K	a k a x	A K A G	2	774	root:808	808
30060	Penrhyn	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
2208	RapanuiEasterIsland	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
67029	Rarotongan	?	root		pakiaka	p a k ia k a	P V K V K V	p a k i k a	P A K I K A	2	774	root:812	812
66135	Rennellese	?	root		paiaa	p aiaa	P V	p a	P A	2	774	root:812	812
53592	Rurutuan	?	root		aʔa	a ʔ a	V H V	a 7 a	A H A	2	774	root:808	808
45044	Samoan	?	root		aʔa	a ʔ a	V H V	a 7 a	A H A	2	774	root:808	808
28643	Sikaiana	?	root		patiaka	p a t ia k a	P V T V K V	p a t i k a	P A T I K A	2	774	root:812	812
7907	Surigaonon	?	root		gamot	g a m o t	K V M V T	g a m o t	K A M U T	3	775	root:809	809
54634	Tagalog	?	root		ugat	u g a t	V K V T	u g a t	Y K A T	1	773	root:810	810
28629	TagalogAnthonydelaPaz	?	root		ugat	u g a t	V K V T	u g a t	Y K A T	1	773	root:810	810
8820	TahitianModern	?	root		aa	aa	V	a	A	2	774	root:814	814
14545	Tikopia	?	root		vaiaka	v aia k a	W V K V	v a k a	B A K A	2	774	root:808	808
8600	Tongan	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
39352	Tuamotu	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
51385	UveaEast	?	root		aka	a k a	V K V	a k a	A K A	2	774	root:808	808
30966	WesternBukidnonManobo	?	root		dalid	d a l i d	T V R V T	d a l i d	T A L I T	9	777	root:815	815
29732	Woleai	?	root		wagara	w a g a r a	W V K V R V	w a g a r a	W A K A R A	2	774	root:811	811
30307	Yami	?	root		yamot	ya m o t	V M V T	i m o t	Y M U T	3	775	root:809	809
6309	Anuta	?	rope		maea	m aea	M V	m a	M A	10	779	rope:818	818
46350	BanjareseMalay	?	rope		tali	t a l i	T V R V	t a l i	T A L I	1	778	rope:816	816
25323	Carolinian	?	rope		saal	s aa l	S V R	s a l	S A L	1	778	rope:823	823
