language	iso_code	gloss	global_id	local_id	transcription	cognate_class
Masiwang	?	you	?	?	em	15
Lenakel	?	dog	?	?	kuri	7
DayakNgaju	?	tobite	?	?	mamangkit	17
Kove	?	toknow,beknowledgeable	?	?	atai	35
Iliun	?	no,not	?	?	tora	8
Yamdena	?	night	?	?	ndondam	11
Chuukese	?	togrow	?	?	teriwi	9
Kavalan	?	wind	?	?	bari	2
Kilivila	?	tovomit	?	?	lagoba	20
Talise	?	hand	?	?	limana	1
Buli	?	tosleep	?	?	tuli	1
Bobot	?	night	?	?	mesat	8
Tolo	?	child	?	?	ndalena	28
Tolo	?	child	?	?	mbaka	41
TagalogAnthonydelaPaz	?	toclimb	?	?	umakyat	30
TaliseMalagheti	?	tosuck	?	?	mucua	20
EastSumbaneseUmbuRatuNggaidialect	?	tobuy	?	?	hi	2
Anuta	?	we	?	?	tou	1
Komering	?	when?	?	?	idan	1
MelanauMukah	?	we	?	?	telew	1
MelanauMukah	?	we	?	?	melew	2
ProtoAustronesian	?	tocount	?	?	Sipuʀ	3
Yami	?	person/humanbeing	?	?	tao	1
RapanuiEasterIsland	?	dry	?	?	pakapaka	12
BanjareseMalay	?	dry	?	?	karing	22
MalayBahasaIndonesia	?	water	?	?	air	2
Neveei	?	three	?	?	itl	1
Minangkabau	?	blood	?	?	darah	1
ProtoMicronesian	?	star	?	?	fitu	1
Tuvalu	?	right	?	?	matau	5
Bonerate	?	tosew	?	?	mɔhaki	41
BilaanKoronadal	?	black	?	?	fitam	1
KenyahLongAnap	?	flower	?	?	buŋaʔ	1
Bunun	?	road/path	?	?	daan	1
Tunjung	?	this	?	?	itih	10
Pukapuka	?	toliedown	?	?	takoto	7
BuruNamroleBay	?	salt	?	?	sasi	20
Teop	?	belly	?	?	koma	57
BajoPadeiLaut	?	two	?	?	dua	1
MaringeKmagha	?	left	?	?	mairi	1
Tagalog	?	todrink	?	?	uminom	1
UveaEast	?	warm	?	?	mafana	1
Werinama	?	year	?	?	na	3
Gayo	?	flower	?	?	buŋə	1
Mamanwa	?	neck	?	?	liqɨg	1
TahitianModern	?	tosee	?	?	ite	1
Masiwang	?	two	?	?	lua	1
TboliTagabili	?	towalk	?	?	mogow	18
TboliTagabili	?	towalk	?	?	tmɔnɔk	19
Gaddang	?	water	?	?	danum	1
Saaroa	?	woman/female	?	?	atlain	30
LamaholotIleMandiriFloresTimur	?	tosleep	?	?	turu	1
Mangareva	?	narrow	?	?	ko/koma/	10
Ponapean	?	water	?	?	pihl	4
Matukar	?	tosqueeze	?	?	pipi	21
TausugJoloDialect	?	hand	?	?	limah	1
EastSumbaneseKamberaSoutherndialect	?	grass	?	?	rumba	47
RotiTermanuDialect	?	leg/foot	?	?	ei	1
KallahanKayapaProper	?	rat	?	?	qutut	25
Tunjung	?	thin	?	?	tipi	1
KenyahLongAnap	?	tofear	?	?	takut	1
Aputai	?	ear	?	?	kini	5
MelayuBruneiDialect	?	tolaugh	?	?	tatawa	1
Bilibil	?	woman/female	?	?	pain	1
Patpatar	?	snake	?	?	sui	17
BugineseSoppengDialect	?	branch	?	?	takke	10
HituAmbon	?	egg	?	?	teru	1
ManoboSaranganiKayapongaDialect	?	wet	?	?	mʌqamʌs	30
Tawala	?	belly	?	?	manago	9
Loniu	?	bone	?	?	pitiʔon	30
DayakNgaju	?	mother	?	?	indang	10
TobaBatak	?	rain	?	?	udan	1
Kusaie	?	meat/flesh	?	?	ikoɛ	10
Marquesan	?	toswell	?	?	hete	5
Marquesan	?	toswell	?	?	huhua	30
Doura	?	sea	?	?	kavara	39
GauraNggaura	?	dog	?	?	bhoga	4
Bali	?	tosay	?	?	nomoŋ	25
Buli	?	stick/wood	?	?	ai	1
Tarpia	?	liver	?	?	yate	1
Ibanag	?	tocry	?	?	mattangic	1
Maleu	?	rat	?	?	nakiue	47
Kalagan	?	shoulder	?	?	qabaga	1
Tagalog	?	man/male	?	?	lalaki	2
Anuta	?	sharp	?	?	kakai	14
Favorlang	?	tolive,bealive	?	?	orich	1
Canala	?	white	?	?	pwara	3
MurnatenAlune	?	ash	?	?	lopone	6
Ghari	?	toblow	?	?	pua	17
IfugaoBayninan	?	shoulder	?	?	puqol	32
Hoava	?	tohold	?	?	taŋini	19
Yami	?	leaf	?	?	vohong	18
Kuni	?	person/humanbeing	?	?	wabekau	1
Kuni	?	person/humanbeing	?	?	wabekau	68
Itbayaten	?	dog	?	?	tituq	49
ProtoSouthernMindanaon	?	wife	?	?	yaɨn	23
Cebuano	?	at	?	?	sa	14
SaipanCarolinianTanapag	?	three	?	?	ili	1
Dehu	?	toyawn	?	?	hoae	5
TannaSouthwest	?	dirty	?	?	amkəmək	14
KakidugenIlongot	?	tofall	?	?	qɨlag	52
Marquesan	?	towalk	?	?	hee	6
Bajo	?	liver	?	?	atai	1
TagalogAnthonydelaPaz	?	you	?	?	ikaw	21
BauroPawaVillage	?	tobite	?	?	ɣaraia	1
Maisin	?	name	?	?	asaŋ	1
AmbaiYapen	?	wind	?	?	wana	22
Rarotongan	?	onethousand	?	?	mano	2
Rarotongan	?	onethousand	?	?	tauatini	11
TahitianModern	?	left	?	?	aui	1
Baree	?	year	?	?	taʔu	1
Kerinci	?	skin	?	?	kuleyt	1
Teanu	?	four	?	?	te|va	1
LioFloresTongah	?	correct,true	?	?	molo	4
SambalBotolan	?	smoke	?	?	qhok	53
Sasoutheasterndialect	?	five	?	?	lim	1
BanjareseMalay	?	three	?	?	talu	1
Kerinci	?	if	?	?	kalow	14
Biliau	?	skin	?	?	tini	31
Samoan	?	toknow,beknowledgeable	?	?	iloa	13
Asumboa	?	tostand	?	?	sie	2
Wanukaka	?	at	?	?	ta	2
Tanga	?	black	?	?	meketket	1
Woleaian	?	shoulder	?	?	yafera	1
Puluwatese	?	topound,beat	?	?	pwo	3
Puluwatese	?	topound,beat	?	?	wukuuk	2
Nggela	?	leaf	?	?	rau	1
Isamorong	?	toturn	?	?	mangacico	23
Cebuano	?	togrow	?	?	motubo	1
Teun	?	toswim	?	?	nani	1
Leipon	?	toburn	?	?	culmwi	27
Balangaw	?	warm	?	?	qumatong	38
Tsou	?	nose	?	?	ŋʉcʉ	27
LamaholotIleMandiriFloresTimur	?	tobreathe	?	?	harin	7
Tawaroga	?	toknow,beknowledgeable	?	?	ɣirara	18
Wanukaka	?	stone	?	?	watu	1
Vano	?	back	?	?	ndie	29
Merei	?	meat/flesh	?	?	viso	10
KeiTanimbarKei	?	tothink	?	?	fikir	22
TahitianthCentury	?	ear	?	?	taria	1
Carolinian	?	toplant	?	?	ffot	6
Sisingga	?	tofall	?	?	suru	20
Rurutuan	?	you	?	?	ʔoutou	16
RejangRejang	?	wing	?	?	sayəp	26
Ghari	?	intestines	?	?	tinae	1
TboliTagabili	?	rat	?	?	quŋe	26
BabatanaKatazi	?	right	?	?	ndekana	34
BatakPalawan	?	toburn	?	?	dɨkɨt	32
BabatanaAvaso	?	eye	?	?	matana	1
Saliba	?	toswim	?	?	tuba	17
Butuanon	?	four	?	?	upat	1
Manihiki	?	todream	?	?	moemoeaa	7
Ubir	?	sharp	?	?	mamata|n	36
MunaKatobuTongkunoDialect	?	big	?	?	nobhala	25
Siar	?	child	?	?	fanat	5
ManoboKalamansigCotabatoParilDialect	?	big	?	?	dakɨl	22
Surigaonon	?	toburn	?	?	sunog	21
SakaoPortOlry	?	three	?	?	ðœl	1
Teop	?	grass	?	?	rasu	56
GhariTandai	?	ear	?	?	kulina	6
FutunaAniwa	?	tongue	?	?	rero	15
ProtoCentralPacific	?	toflow	?	?	tave	10
Luangiua	?	thou	?	?	oe	1
Varisi	?	rope	?	?	tali	1
Sasoutheasterndialect	?	wet	?	?	mes	49
Gedaged	?	right	?	?	waŋ	1
Megiar	?	rain	?	?	vi	19
KilokakaYsabel	?	tocome	?	?	mai	1
Maori	?	heavy	?	?	taimaha	1
Niue	?	todie,bedead	?	?	mate	1
Watubela	?	hair	?	?	uka	1
WewewaTanaRighudialect	?	tokill	?	?	pamate	2
Oroha	?	two	?	?	rua	1
EngganoMalakoniVillage	?	onethousand	?	?	kahakhribu	5
PhanRangChamEasternCham	?	fruit	?	?	bauh	1
KeiTanimbarKei	?	two	?	?	ndru	1
Iliun	?	toknow,beknowledgeable	?	?	nanau	42
Gabadi	?	tongue	?	?	maranana	7
Mamanwa	?	tolaugh	?	?	katawa	1
Maranao	?	shy,ashamed	?	?	mamala	1
Neveei	?	toplant	?	?	luv	10
Mbareke	?	road/path	?	?	ɣuana	35
Haku	?	tosew	?	?	tul	13
PuloAnna	?	thatch/roof	?	?	yado	1
Werinama	?	stick/wood	?	?	ai	1
BikolNagaCity	?	towork	?	?	maoma	1
Puyuma	?	intestines	?	?	tinaqiʔ	1
Talur	?	old	?	?	laʔit	7
EastSumbaneseLewadialect	?	tosuck	?	?	lamuji	2
Molima	?	at	?	?	ya	12
SamalSiasiDialect	?	ear	?	?	talinga	1
Nelemwa	?	small	?	?	pwamwayu	26
Aria	?	we	?	?	ite	1
Aria	?	we	?	?	imi	2
Leipon	?	tosteal	?	?	pe|hene	1
BilaanSarangani	?	todig	?	?	nakol	14
Maranao	?	todig	?	?	kali	1
Ogan	?	back	?	?	puŋguŋ	24
MarshalleseEDialect	?	rain	?	?	wot	1
Naman	?	mosquito	?	?	nenom	1
MalayBahasaIndonesia	?	bird	?	?	burung	17
LengoGhaimuta	?	father	?	?	tama	1
Chru	?	toliedown	?	?	dix	27
BatakPalawan	?	louse	?	?	kutu	1
MarquesanNukuhivadialect	?	toscratch	?	?	tuvee	33
BabatanaKatazi	?	two	?	?	kere	8
EngganoBanjarSari	?	onehundred	?	?	kahakhratus	4
TboliTagabili	?	tosuck	?	?	msɨf	1
Ali	?	nose	?	?	yisuk	1
Mamboru	?	tosuck	?	?	sabubu	3
SaaSaaVillage	?	tovomit	?	?	moa	1
TagalogAnthonydelaPaz	?	what?	?	?	ano	2
Anakalang	?	tofall	?	?	kanabu	1
FutunaEast	?	spider	?	?	kaleveleve	1
Imorod	?	dry	?	?	makjit	25
Sikaiana	?	thick	?	?	maatoru	3
Vilirupu	?	bone	?	?	iliǥana	40
Siar	?	they	?	?	diat	1
Vilirupu	?	totieup,fasten	?	?	evapaiani	60
Naman	?	grass	?	?	nəvilviləs	1
Kaidipang	?	moon	?	?	vurʔa	1
Leipon	?	person/humanbeing	?	?	damat	1
ProtoCentralEasternMalayoPolynesian	?	rotten	?	?	buʀuk	1
ProtoCentralEasternMalayoPolynesian	?	rotten	?	?	busuk	56
Belait	?	rotten	?	?	buroʔ	1
Penrhyn	?	tosit	?	?	noho	16
FaganiAgufi	?	toliedown	?	?	tao	51
ManoboAtaupriver	?	man/male	?	?	lukos	38
Carolinian	?	rope	?	?	saal	1
Toambaita	?	mouth	?	?	fɔkɔna	43
Kaidipang	?	tohear	?	?	mokiduŋogu	1
Mapun	?	root	?	?	gamut	3
IvatanBascoDialect	?	toeat	?	?	koman	1
EastSumbaneseKamberaSoutherndialect	?	warm	?	?	mbana	1
SaranganiBlaan	?	tochoose	?	?	nalek	17
DumagatCasiguran	?	what?	?	?	qanyaq	21
BlablangaGhove	?	toscratch	?	?	ɣarɔ	55
Gaddang	?	dog	?	?	qatu	1
OldJavanese	?	rotten	?	?	wuk	1
Lau	?	woman/female	?	?	geni	8
Neveei	?	totieup,fasten	?	?	vivisen	32
ChekeHolo	?	at	?	?	ka	9
Sonsorolese	?	six	?	?	woro	1
MarquesanNukuhivadialect	?	two	?	?	ua	1
Singhi	?	father	?	?	sama	1
Samoan	?	louse	?	?	ʔutu	1
Isamorong	?	thunder	?	?	adey	32
ManoboAtaupriver	?	liver	?	?	qatoy	1
Yabem	?	small	?	?	sauŋ	44
Aiwoo	?	father	?	?	tumwæ	1
ChuukeseAKATrukese	?	near	?	?	arapa	13
Doura	?	snake	?	?	paipai	30
KwaraaeSolomonIslands	?	tochoose	?	?	fili	1
SaaSaaVillage	?	father	?	?	amana	1
Mota	?	father	?	?	tamai	1
Neveei	?	hair	?	?	nansile	31
Neveei	?	hair	?	?	nansile	33
Tontemboan	?	road/path	?	?	lalan	1
BabatanaLomaumbi	?	ear	?	?	talaŋae	1
Kwai	?	mouth	?	?	faka	43
IfugaoBatad	?	skin	?	?	qupqup	41
Lakalai	?	how?	?	?	mave	17
Roro	?	what?	?	?	taba	1
Tuamotu	?	toscratch	?	?	ra/raku/	9
Vangunu	?	intestines	?	?	kuru	17
Fataleka	?	hair	?	?	ifuna	13
SubanonSiocon	?	seven	?	?	pitu	1
DayakNgaju	?	tosleep	?	?	tiruh	1
UveaEast	?	leaf	?	?	lau	1
FutunaAniwa	?	above	?	?	weihlunga	9
SubanonSiocon	?	lightning	?	?	kilat	1
Nahavaq	?	red	?	?	mamal	1
BugineseSoppengDialect	?	two	?	?	dua	1
Perai	?	star	?	?	tu	9
Vano	?	tostab,pierce	?	?	woi	60
Nati	?	four	?	?	ivœs	1
LungaLungaMinigir	?	woman/female	?	?	vavina	1
Dehu	?	todie,bedead	?	?	mec	1
Agta	?	child	?	?	qʌbbing	21
Mor	?	ash	?	?	ʔaho	1
Sobei	?	wife	?	?	mefne	5
Letinese	?	tocut,hack	?	?	teti	3
Mengen	?	house	?	?	bale	14
TahitianModern	?	sand	?	?	one	1
BikolNagaCity	?	year	?	?	taon	1
LwepeSantaCruz	?	tosit	?	?	wæmbu	82
Soa	?	warm	?	?	bana	1
Madara	?	louse	?	?	raku	11
Kaidipang	?	rain	?	?	uha	1
Emplawas	?	name	?	?	nune	3
UjirNAru	?	back	?	?	tulikay	4
ElatKeiBesar	?	correct,true	?	?	mololo	4
Luang	?	sharp	?	?	plokrə	12
WindesiWandamen	?	one	?	?	esa	1
Popalia	?	totieup,fasten	?	?	ɓoke	29
Maisin	?	rat	?	?	gorobu	19
Neveei	?	night	?	?	buŋ	1
Mangareva	?	toflow	?	?	tae	10
Mota	?	todream	?	?	qore	10
Puluwatese	?	i	?	?	ŋa	12
Tawaroga	?	intestines	?	?	aŋena	1
Nggela	?	lake	?	?	kolo	11
Mbareke	?	tofear	?	?	kalɔkete	48
ZabanaKia	?	todie,bedead	?	?	leme	5
Lahanan	?	spider	?	?	tə|lawaʔ	1
Anuta	?	near	?	?	nei	31
Tolo	?	father	?	?	tamana	1
Imorod	?	toturn	?	?	siwazan	22
MunaKatobuTongkunoDialect	?	he/she	?	?	anoa	12
Saliba	?	tokill	?	?	unui	1
Rennellese	?	nose	?	?	isu	1
Bonfia	?	fruit	?	?	fua	1
Butuanon	?	liver	?	?	atay	1
WewewaTanaRighudialect	?	heavy	?	?	boto	1
Paiwan	?	toyawn	?	?	mesuaw	1
Atoni	?	dog	?	?	asu	1
Leipon	?	moon	?	?	bul	1
TagalogAnthonydelaPaz	?	near	?	?	malapit	36
Wuna	?	big	?	?	nobala	25
SubanonSiocon	?	dust	?	?	gabu	1
Madurese	?	heavy	?	?	berraʔ	1
TaliseMoli	?	wing	?	?	rapɔrapɔna	50
Mouk	?	tostand	?	?	mxi	1
SyeErromangan	?	toturn	?	?	ovlaŋkau	15
Bunun	?	tosuck	?	?	supsupun	1
Tongan	?	tothink	?	?	fakakaukau	27
RejangRejang	?	rotten	?	?	buʔuʔ	1
RejangRejang	?	rotten	?	?	usuʔ	56
Sewa	?	nose	?	?	ebusu	1
Sewa	?	nose	?	?	ebusu	17
Wedau	?	towalk	?	?	enenai	11
Wedau	?	towalk	?	?	ebababara	51
SyeErromangan	?	bone	?	?	noura	2
Tikopia	?	intestines	?	?	ngakau	12
SaranganiBlaan	?	rat	?	?	quŋe	26
Mangareva	?	todie,bedead	?	?	mate	1
Kusaie	?	one	?	?	sie	1
Varisi	?	todig	?	?	sɔla	10
Numfor	?	two	?	?	dui	1
Kove	?	tovomit	?	?	lua	8
Ririo	?	todie,bedead	?	?	li	5
TannaSouthwest	?	belly	?	?	təpu	36
BugineseSoppengDialect	?	tochoose	?	?	mile	1
WewewaTanaRighudialect	?	feather	?	?	ghulu	1
MbiluaNdovele	?	wing	?	?	zambu	44
Saaroa	?	road/path	?	?	salaʔa	1
Saa	?	house	?	?	nume	1
ElatKeiBesar	?	one	?	?	sa	1
CiuliAtayal	?	feather	?	?	ʔalihu	2
Aria	?	i	?	?	ŋoŋ	1
WesternBukidnonManobo	?	in,inside	?	?	seled	14
Minangkabau	?	tobite	?	?	maŋgigiʔ	21
Nggela	?	tosqueeze	?	?	posi	18
Nggela	?	tosqueeze	?	?	luhi	19
Soboyo	?	thin	?	?	manipi	1
Puyuma	?	leaf	?	?	viəraq	2
SyeErromangan	?	spider	?	?	yatrilwo	1
Luang	?	toscratch	?	?	matlə	7
RapanuiEasterIsland	?	you	?	?	korua	16
Minangkabau	?	warm	?	?	paneh	1
Bonerate	?	bird	?	?	kaɗaɗi	21
MunaKatobuTongkunoDialect	?	branch	?	?	ragha	1
Kairiru	?	tosew	?	?	sai	2
Kairiru	?	tosew	?	?	sit	20
Pukapuka	?	tosee	?	?	kite	1
CentralMasela	?	tosleep	?	?	nenin	4
Asumboa	?	he/she	?	?	i	1
Madara	?	shy,ashamed	?	?	maŋamŋari	9
ManoboIlianenKibudtunganDialect	?	smoke	?	?	qɨβɨl	1
TaliseMoli	?	tostand	?	?	tui	2
Aria	?	head	?	?	apna	25
Aria	?	head	?	?	otuk	26
FutunaEast	?	one	?	?	tasi	1
WewewaTanaRighudialect	?	fruit	?	?	wua	1
ArosiTawatanaVillage	?	tobreathe	?	?	manawa	1
ChuukeseAKATrukese	?	toclimb	?	?	tee	8
Mailu	?	tocook	?	?	daridari	17
EastSumbaneseKamberaSoutherndialect	?	name	?	?	tamu	4
EastSumbaneseKamberaSoutherndialect	?	name	?	?	ngara	1
IfugaoBatad	?	hand	?	?	ngamay	21
AttaPamplona	?	head	?	?	ulu	1
RejangRejang	?	tocut,hack	?	?	təmtoʔ	3
Ivasay	?	cold	?	?	mahen	24
Ivasay	?	cold	?	?	ma	25
Mamanwa	?	tostand	?	?	tindɨg	20
SivisaTitan	?	toknow,beknowledgeable	?	?	pas	62
Manihiki	?	tosuck	?	?	ngote	9
Manihiki	?	tosuck	?	?	miti	8
Tokelau	?	sea	?	?	moana	10
Buol	?	thunder	?	?	gundul	30
Nati	?	star	?	?	nœmosi	13
IvatanBascoDialect	?	tocut,hack	?	?	haripɨn	44
Suau	?	long	?	?	lohaloha	36
Lakalai	?	and	?	?	me	2
Kuanua	?	feather	?	?	ivuna	1
PulauArguni	?	fish	?	?	sair	6
Mangareva	?	leg/foot	?	?	va/vae/	31
Mangareva	?	leg/foot	?	?	va/vae/	1
Hawaiian	?	far	?	?	mamao	13
KelabitBario	?	bone	?	?	tulaŋ	1
Tape	?	intestines	?	?	jənin	1
KallahanKayapaProper	?	lake	?	?	lɨbɨng	19
Takuu	?	wind	?	?	matani	1
Roro	?	tofly	?	?	robo	1
ProtoMalayoPolynesian	?	neck	?	?	liqeʀ	1
GorontaloHulondalo	?	wide	?	?	motaŋgalo	17
Buli	?	who?	?	?	ise	1
Takuu	?	tocut,hack	?	?	sere	16
Takuu	?	tocut,hack	?	?	t/tuu/	17
Takuu	?	tocut,hack	?	?	vasi	13
Hanunoo	?	two	?	?	duwa	1
NakanaiBilekiDialect	?	small	?	?	bisi	14
CentralMasela	?	red	?	?	mnonor	4
Teop	?	toflow	?	?	oro	32
Tuvalu	?	where?	?	?	fea	3
Maleu	?	tovomit	?	?	malalua	8
IfugaoBatad	?	cloud	?	?	buunut	51
Lungga	?	tobite	?	?	ɣarata	1
GauraNggaura	?	head	?	?	katoku	6
BontocGuinaang	?	short	?	?	qaptik	49
Nukuoro	?	good	?	?	malie	16
LioFloresTongah	?	dirty	?	?	raki	1
Ilokano	?	egg	?	?	itlog	24
Mamboru	?	and	?	?	dangu	4
Kairiru	?	cloud	?	?	jim	22
SivisaTitan	?	skin	?	?	kulico	1
Makasae	?	and	?	?	mai	2
NumbamiSiboma	?	shy,ashamed	?	?	memeya	1
WesternBukidnonManobo	?	mosquito	?	?	reŋit	21
DayakNgaju	?	shoulder	?	?	bahai	17
BerawanLongTerawan	?	tovomit	?	?	nuta	1
Nati	?	name	?	?	neia	1
Maori	?	tocry	?	?	tangi	1
Marshallese	?	onehundred	?	?	bwikwiy	20
Pangasinan	?	toblow	?	?	sibukan	34
Malango	?	todrink	?	?	inu	1
KilokakaYsabel	?	name	?	?	nahŋa	1
Soboyo	?	shy,ashamed	?	?	mahi	1
Modang	?	smoke	?	?	so|n	19
AreareMaasupaVillage	?	house	?	?	nima	1
Ibanag	?	name	?	?	ngagan	1
Roviana	?	old	?	?	koana	15
Tetum	?	tostand	?	?	harik	33
BanjareseMalay	?	far	?	?	juah	1
Leipon	?	tocome	?	?	ku|me	1
Kwamera	?	lake	?	?	nəsiui	10
Tabar	?	left	?	?	keari	1
Tabar	?	left	?	?	keari	43
Satawalese	?	tocook	?	?	mmoot	11
Rotuman	?	skin	?	?	uli	1
PalawanBatak	?	fish	?	?	səda	18
Nahavaq	?	tolaugh	?	?	mwas	58
Riwo	?	cloud	?	?	timtaen	41
Maloh	?	star	?	?	bintaŋ	1
Takuu	?	lightning	?	?	uila	2
EastSumbaneseKamberaSoutherndialect	?	dust	?	?	au	1
Mamanwa	?	toburn	?	?	sonog	21
ZabanaKia	?	cold	?	?	kapɔ	17
SouthEastBabar	?	night	?	?	mɛlmɛl	4
UjirNAru	?	wide	?	?	lafi	1
Banggi	?	hair	?	?	obuk	1
Katingan	?	tocry	?	?	manaŋis	1
Tikopia	?	dry	?	?	maroo	13
Tikopia	?	dry	?	?	masa	11
MarquesanNukuhivadialect	?	that	?	?	teaa	1
BuruNamroleBay	?	tolaugh	?	?	mali	3
KasiraIrahutu	?	toplant	?	?	mə|tanə	2
SubanunSindangan	?	blood	?	?	duguq	16
Ilokano	?	who?	?	?	sinno	14
Muyuw	?	tobite	?	?	ged	46
KoronadalBlaan	?	belly	?	?	tiqɨn	1
Werinama	?	tochoose	?	?	badali	5
SouthEfate	?	mouth	?	?	nakanr	45
Babuyan	?	leaf	?	?	bohong	18
AmbrymSouthEast	?	belly	?	?	vaŋɛ	13
Madurese	?	where?	?	?	edhimma	20
Acehnese	?	neck	?	?	lihe	1
Bilibil	?	earth/soil	?	?	tan	1
Patpatar	?	correct,true	?	?	tutun	6
PalawanBatak	?	new	?	?	baqgo	1
Kuni	?	what?	?	?	daba	1
LungaLungaMinigir	?	tokill	?	?	doko	39
Thao	?	person/humanbeing	?	?	caw	1
ItnegBinongan	?	mosquito	?	?	qilɨk	28
ManoboWesternBukidnon	?	sand	?	?	pantad	22
GorontaloHulondalo	?	todream	?	?	motohiilopo	24
Mori	?	thick	?	?	mokapa	1
Balangaw	?	salt	?	?	qahin	3
BontocGuinaang	?	tosew	?	?	daqit	2
Tontemboan	?	house	?	?	wale	14
Yakan	?	water	?	?	boheʔ	25
Bugotu	?	toblow	?	?	ifu	1
Bintulu	?	spider	?	?	kebagag	1
Tagalog	?	below	?	?	ibaba	1
Masiwang	?	grass	?	?	fofv	9
TahitianthCentury	?	he/she	?	?	oia	1
Imorod	?	tosqueeze	?	?	liperes	1
VaeakauTaumako	?	at	?	?	i	1
ManoboAtadownriver	?	tosniff,smell	?	?	ngadog	37
ManoboAtaupriver	?	one	?	?	qisa	1
Loniu	?	who?	?	?	hemohɪh	1
Buli	?	lightning	?	?	lemlem	19
Hawaiian	?	old	?	?	kahiko	34
KayanUmaJuman	?	green	?	?	nemit	26
KoiwaiIrianJaya	?	tolaugh	?	?	marif	3
ElatKeiBesar	?	child	?	?	anako	1
Riwo	?	tongue	?	?	balen	66
Mambai	?	eye	?	?	matan	1
BatakPalawan	?	rain	?	?	lɨbɨg	21
Yami	?	nose	?	?	momodan	19
ProtoCentralEasternMalayoPolynesian	?	this	?	?	ani	1
Babatana	?	in,inside	?	?	lɔmbɔrɔe	6
ArakiSouthwestSanto	?	night	?	?	tsotso	11
Savu	?	cold	?	?	meriŋi	1
Nggela	?	tocry	?	?	taŋi	1
ApmaSuruMwerani	?	stick/wood	?	?	kai	1
TaliseMoli	?	tobreathe	?	?	asease	16
MaloSantaCruz	?	sea	?	?	pœla	36
Savu	?	toeat	?	?	taŋaʔa	1
Kapingamarangi	?	nose	?	?	uuhiu	1
Tawaroga	?	tosplit	?	?	easita	55
MelanauMukah	?	wife	?	?	sawa	1
Muyuw	?	hand	?	?	niman	1
BatakPalawan	?	lightning	?	?	kudlap	1
MunaKatobuTongkunoDialect	?	far	?	?	nokodoho	27
Kazukuru	?	todie,bedead	?	?	minata	1
Kokota	?	stone	?	?	gahipa	18
WesternBukidnonManobo	?	lake	?	?	ranew	1
TahitianthCentury	?	sand	?	?	one	1
OldJavanese	?	tokill	?	?	amati	2
OldJavanese	?	tokill	?	?	pati	22
MaringeKmagha	?	rope	?	?	nahrɔ	2
KilokakaYsabel	?	black	?	?	zuzuna	38
Ibanag	?	tosleep	?	?	maecatrug	1
Maranao	?	smoke	?	?	bel	1
AttaPamplona	?	toturn	?	?	mabbiribiring	4
Imorod	?	thick	?	?	magsaz	23
NakanaiBilekiDialect	?	tail	?	?	kiu	1
Komering	?	smoke	?	?	hasoʔ	49
Minangkabau	?	thick	?	?	taba	26
Satawalese	?	tostab,pierce	?	?	towutow	13
Taiof	?	tosleep	?	?	goros	14
Rarotongan	?	intestines	?	?	ngaakau	12
KayanUmaJuman	?	mouth	?	?	ba	1
GhariNggae	?	ear	?	?	kulina	6
Nanggu	?	sharp	?	?	imaiyœ	36
Manihiki	?	dog	?	?	kurii	7
Javanese	?	three	?	?	telu	1
KankanayNorthern	?	dull,blunt	?	?	ngodɨl	43
FijianSuvaDialect	?	dust	?	?	kuyu	24
Manam	?	two	?	?	rua	1
TungagTungakLavongai	?	tongue	?	?	kalkalame	14
TungagTungakLavongai	?	tongue	?	?	kalkalame	7
Wanukaka	?	tosit	?	?	ngodu	7
Emae	?	eye	?	?	mata	1
Molima	?	name	?	?	wawa	9
Takuu	?	correct,true	?	?	tonu	8
Iban	?	tosplit	?	?	belah	1
ItnegBinongan	?	snake	?	?	qowɨg	33
AklanonBisayan	?	white	?	?	putiʔ	1
Bwaidoga	?	thunder	?	?	atala	26
Emplawas	?	earth/soil	?	?	kale	3
Sonsorolese	?	sea	?	?	taati	1
Saliba	?	shoulder	?	?	dabyalo	27
Rarotongan	?	towalk	?	?	aere	6
Modang	?	togrow	?	?	bu	1
DayakNgaju	?	black	?	?	bilem	30
IfugaoBayninan	?	liver	?	?	qolte	1
Kadorih	?	woods/forest	?	?	himba	37
Tagalog	?	tocome	?	?	datiŋ	14
Tagalog	?	tocome	?	?	pumunta	20
Anakalang	?	leg/foot	?	?	wihi	5
ProtoOceanicBlust	?	sky	?	?	laŋit	1
SantaCatalina	?	tostab,pierce	?	?	rupu	59
KakidugenIlongot	?	wing	?	?	payak	40
Tanga	?	night	?	?	panam|biŋ	1
Ivasay	?	toscratch	?	?	kadkaren	21
Penrhyn	?	tocut,hack	?	?	va/vasi/	13
Penrhyn	?	tocut,hack	?	?	tarai	1
UveaWest	?	toeat	?	?	kai	1
Lou	?	toknow,beknowledgeable	?	?	pasek	62
Bonfia	?	tosteal	?	?	kahalee	29
Marquesan	?	left	?	?	akeake	21
Mangareva	?	what?	?	?	aa	1
BanjareseMalay	?	all	?	?	samuaan	33
Sediq	?	you	?	?	yamuʔ	1
Varisi	?	wet	?	?	mbɔma	15
MelayuBruneiDialect	?	head	?	?	kapala	45
TagalogAnthonydelaPaz	?	at	?	?	sa	14
ArosiTawatanaVillage	?	toliedown	?	?	ndadao	51
WesternBukidnonManobo	?	cold	?	?	genew	37
Mortlockese	?	breast	?	?	ttu	1
Takia	?	eye	?	?	mala	1
Kodi	?	star	?	?	mendun	6
