ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	POPULATION_NAME	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID	TOKENS
4518	Motuo-M	MOT	mot	Tibetan	dakp1242	neck	58	ŋaŋ	ŋaŋ	2736	2736:neck	20	0	Tawang Monpa, Dakpakha?	780	ŋ a ŋ
4519	Tujia	TUJ	tujia	Tujia	nort2732	neck	58	khoŋ.1 ti.1	khoŋ¹_ti¹	2540	2540:neck	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	643	kʰ o ŋ ¹ ◦ t i ¹
4520	Beijing	PEK	sino	CHB	mand1415	neck	58	ʒ́ǐŋbo 頸脖	ʒ́ǐŋbo	1691	1691:neck	20	0		374	ʒʲ i ŋ ◦ b o
4521	Zhaba	ZHA	syc		zhab1238	neck	58	liŋ.51 ciŋ.21	liŋ⁵¹_ciŋ²¹	1691	1691:neck	20	0	Stage 2	374	l i ŋ ⁵¹ ◦ ts i ŋ ²¹
4522	Kaike	KAY	kay		kaik1246	neck	58	hola	hola	4132	4132:neck	20	0		965	h o ◦ l a
4523	Jinuo	JIN	bur	Jinuo	youl1235	neck	58	lə.42 chə.55	lə⁴²_chə⁵⁵	1691	1691:neck	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	374	l ə ⁴² ◦ tsʰ ə ⁵⁵
4524	Serdukpen	SER	sul		sher1257	neck	58	ortoŋ	ortoŋ	995	995:neck	20	0	Stage 2	1551	o r ◦ t o ŋ
4525	Namuzi	NAM	syc		namu1246	neck	58	ɣɛ.55 kɛ.33	ɣɛ⁵⁵_kɛ³³	2435	2435:neck	20	0		608	ɣ ɛ ⁵⁵ ◦ k ɛ ³³
4526	Xiaxe Tibetan	XIA	tib		amdo1237	neck	58	hke tə	hke_tə	2735	2735:neck	20	0		779	h k e _ t ə
4527	Lüsu	LUS	syc		lisu1250	neck	58	ta.53 ər.53	ta⁵³_ər⁵³	645	645:neck	20	0		1426	t a ⁵³ ◦ ə r ⁵³
4528	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	neck	58	ahuŋ	ahuŋ	2540	2540:neck	20	0	Naga Yimchungru	643	a ◦ h u ŋ
4529	Liangmai	LIA	naga		lian1251	neck	58	ɨŋ, uŋ=phaŋ	ɨŋ	2540	2540:neck	20	0		643	ɨ ŋ
4530	Dimasa	DIM	bodo		dima1251	neck	58	godo	godo	995	995:neck	20	0		1551	g o ◦ d o
4531	N-Qiang	QIA	syc		nort2722	neck	58	tʃə ka	tʃə_ka	2435	2435:neck	20	0	Stage 2	608	tʃ ə _ k a
4532	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	neck	58	ćər.33	ćər³³	4133	4133:neck	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	966	tsʲ ə r ³³
4533	Zeme	ZEM	naga		zeme1240	neck	58	mi=guaŋ	miguaŋ	2540	2540:neck	20	0		643	m i ◦ g u a ŋ
4534	Jingpo	JNP	jnp		kach1280	neck	58	tuʔ.31	tuʔ³¹	995	995:neck	20	0	Jinghpaw; Stage 2	1551	t u ʔ ³¹
4535	Bodo	BOD	bodo		bodo1269	neck	58	garaŋ	garaŋ	645	645:neck	20	0		1426	g a ◦ r a ŋ
4536	Fuzhou	FUZ	sino	Han	mind1253	neck	58	ta5 au33	ta⁵_au³³	4035	4035:neck	20	0		904	t a ⁵ ◦ a u ³³
4537	Burmese	WRB	bur	Burmese	nucl1310	neck	58	lań paŋ:	lań_paŋː	1691	1691:neck	20	0		374	l a nʲ _ p a ŋː
4538	Horpa	DAO	syc		horp1239	neck	58	vlʒe TIB	vlʒe_TIB	-1	-1-41	20	1		36	v l ◦ ʒ e _
4539	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	neck	58	tɨ=khuŋ=len	tɨkhuŋlen	2540	2540:neck	20	0	Naga Ao	643	t ɨ ◦ kʰ u ◦ ŋ l e n
4540	Padam	PAD	tani		pada1257	neck	58	a-liŋ	a-liŋ	1691	1691:neck	19	0		374	a + l i ŋ
4541	Bola	BOL	bur		pela1242	neck	58	laŋ.55 taŋ.31	laŋ⁵⁵_taŋ³¹	1691	1691:neck	20	0		374	l a ŋ ⁵⁵ ◦ t a ŋ ³¹
4542	Guiqiong	GUI	syc		guiq1238	neck	58	ta.55 chɨ.53	ta⁵⁵_chɨ⁵³	995	995:neck	20	0		1551	t a ⁵⁵ ◦ tsʰ ɨ ⁵³
4543	Gangte	GAN	chin		gang1266	neck	58	ŋoŋ	ŋoŋ	2736	2736:neck	20	0		780	ŋ o ŋ
4544	Pochuri	POC	naga		poch1243	neck	58	aku	aku	2540	2540:neck	20	0		643	a ◦ k u
4545	Apatari	APA	tani		apat1240	neck	58	láŋgu	láŋgu	2540	2540:neck	20	0		643	l a ŋ ◦ g u
4546	Old Chinese	OCH	sino	Han	oldc1244	neck	58	k(l)eŋʔ ?V	keŋʔ_?V	1691	1691:neck	-10	0		374	k e ŋ ʔ
4547	Lushai	LSH	chin		lush1249	neck	58	riŋ	riŋ	645	645:neck	20	0		1426	r i ŋ
4548	Bokar	BOK	tani		bori1243	neck	58	lɨŋ poŋ	lɨŋ_poŋ	417	417:neck	20	0	Stage 2	997	l ɨ ŋ _ p o ŋ
4549	Rabha	RAB	bodo		rabh1238	neck	58	tok-raŋ	tok-raŋ	995	995:neck	20	0		1551	t o k + r a ŋ
4550	Hmar	HMA	chin		hmar1241	neck	58	riŋ	riŋ	645	645:neck	20	0		1426	r i ŋ
4551	Langsu-Maru	LAN	bur		maru1249	neck	58	laŋ.31 caŋ.35	laŋ³¹_caŋ³⁵	4133	4133:neck	20	0		966	l a ŋ ³¹ ◦ ts a ŋ ³⁵
4552	Written Tibetan	WRT	tib	Tibetan	tibe1272	neck	58	mʒ́iŋ pa	mʒ́iŋ_pa	1691	1691:neck	20	0		374	m dʒ i ŋ _ p a
4553	Nishi	NIS	tani	Nysha	nisi1238	neck	58	lu:gu	luːgu	2540	2540:neck	20	0	Nisi?	643	l uː ◦ g u
4554	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	neck	58	ćiŋ.13 pə.55	ćiŋ¹³_pə⁵⁵	1691	1691:neck	20	0		374	tsʲ i ŋ ¹³ ◦ p ə ⁵⁵
4555	Hill-Miri	HIL	tani	Nysha	nyis1236	neck	58	lipo	lipo	417	417:neck	20	0		997	l i ◦ p o
4556	Upper-Bangni	UBA	tani		bang1338	neck	58	laŋguŋ	laŋguŋ	2540	2540:neck	20	0		643	l a ŋ ◦ g u ŋ
4557	Leqi	LEQ	bur		lash1243	neck	58	ləŋ.31 cəŋ.33	ləŋ³¹_cəŋ³³	4133	4133:neck	20	0		966	l ə ŋ ³¹ ◦ ts ə ŋ ³³
4558	Zhaba	ZHA	syc		zhab1238	neck	58	liŋ.51 ciŋ.21	liŋ⁵¹_ciŋ²¹	4133	4133:neck	20	0	Stage 2	966	l i ŋ ⁵¹ ◦ ts i ŋ ²¹
4559	Jinuo	JIN	bur	Jinuo	youl1235	neck	58	lə.42 chə.55	lə⁴²_chə⁵⁵	4133	4133:neck	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	966	l ə ⁴² ◦ tsʰ ə ⁵⁵
4560	Lüsu	LUS	syc		lisu1250	neck	58	ta.53 ər.53	ta⁵³_ər⁵³	995	995:neck	20	0		1551	t a ⁵³ ◦ ə r ⁵³
4561	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	neck	58	ćər.33	ćər³³	4133	4133:neck	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	966	tsʲ ə r ³³
4562	Bodo	BOD	bodo		bodo1269	neck	58	godo	godo	995	995:neck	20	0		1551	g o ◦ d o
4563	Bola	BOL	bur		pela1242	neck	58	laŋ.55 taŋ.31	laŋ⁵⁵_taŋ³¹	995	995:neck	20	0		1551	l a ŋ ⁵⁵ ◦ t a ŋ ³¹
4564	Dhimal	DHI	dhim		dhim1246	new	59	nawa IND	nawa_IND	-1	-1-42	20	1		37	n a ◦ w a _
4565	Apatari	APA	tani		apat1240	new	59	níti	níti	611	611:new	20	0		1405	n i ◦ t i
4566	Jianchuan Bai	BAI	sino		jian1239	new	59	śiN4	śiN⁴	1511	1511:new	20	0		301	sʲ i ⁴
4567	Jirel	JIR	tib		jire1238	new	59	sam. L1=ba. T1	sam_L¹ba_T¹	1205	1205:new	20	0		189	s a m _ ¹ ◦ b a _ ¹
4568	Old Chinese	OCH	sino	Han	oldc1244	new	59	sin 新	sin	1511	1511:new	-10	0		301	s i n
4569	Idu	IDU	idu		idum1241	new	59	me.1 eŋ.1	me¹_eŋ¹	96	96:new	20	0		1542	m e ¹ ◦ e ŋ ¹
4570	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	new	59	ethã	ethã	1205	1205:new	20	0	Naga Lotha	189	e ◦ tʰ ã ∼
4571	Lushai	LSH	chin		lush1249	new	59	thar	thar	1205	1205:new	20	0		189	tʰ a r
4572	Lepcha	LEP	lep		lepc1244	new	59	ăl	ăl	4467	4467:new	20	0		1216	a l
4573	Sgaw	SGO	kar	Karen	sgaw1245	new	59	ʔəṭɔ:.44	ʔəṭɔː⁴⁴	1511	1511:new	20	0		301	ʔ ə ◦ ʈ ɔː ⁴⁴
4574	Rourou	ROU	nung		nusu1239	new	59	ćiæ.31	ćiæ³¹	1511	1511:new	20	0		301	tsʲ i æ ³¹
4575	Chokri	CHO	naga		chok1243	new	59	kɨsa	kɨsa	1511	1511:new	20	0		301	k ɨ ◦ s a
4576	Khezhama	KHE	naga		khez1235	new	59	kece	kece	1205	1205:new	20	0		189	k e ◦ ts e
4577	Dulong	DUL	trun		drun1238	new	59	aŋ.31 sar.55	aŋ³¹_sar⁵⁵	1205	1205:new	20	0		189	a ŋ ³¹ ◦ s a r ⁵⁵
4578	Tangkul	TAN	naga		tang1336	new	59	kathar	kathar	1205	1205:new	20	0		189	k a ◦ tʰ a r
4579	Pa'O	PAO	kar	Karen	paok1235	new	59	tə.55 sa.33	tə⁵⁵_sa³³	1511	1511:new	20	0		301	t ə ⁵⁵ ◦ s a ³³
4580	Yamphu	YAM	kir		yamp1242	new	59	coŋ	coŋ	1135	1135:new	20	0		154	ts o ŋ
4581	Geker	GEK	kar	Karen	geko1235	new	59	ṭa:.53	ṭaː⁵³	1511	1511:new	20	0	Geko Karen?	301	ʈ aː ⁵³
4582	Ersu	ERS	syc		ersu1241	new	59	sɨ.55	sɨ⁵⁵	1511	1511:new	20	0		301	s ɨ ⁵⁵
4583	Phom	PHO	knyk		phom1236	new	59	ʒa=pɨ	ʒapɨ	1205	1205:new	20	0		189	ʒ a ◦ p ɨ
4584	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	new	59	tesen	tesen	1511	1511:new	20	0	Naga Ao	301	t e ◦ s e n
4585	Sherpa	SHE	tib	Sherpa	sher1255	new	59	sam=bɛ.HF	sambɛHF	1205	1205:new	20	0	Solu-Khumbu Sherpa	189	s a m ◦ b ɛ
4586	Rawang	RAW	trun		rawa1265	new	59	aŋ səR	aŋ_səR	1205	1205:new	20	0		189	a ŋ _ s ə
4587	Wancho	WAN	knyk		wanc1238	new	59	hoʒan	hoʒan	1205	1205:new	20	0		189	h o ◦ ʒ a n
4588	Bokar	BOK	tani		bori1243	new	59	nɨ ti:	nɨ_tiː	611	611:new	20	0	Stage 2	1405	n ɨ _ t iː
4589	Rabha	RAB	bodo		rabh1238	new	59	pi-dan	pi-dan	4479	4479:new	20	0		1225	p i + d a n
4590	Hmar	HMA	chin		hmar1241	new	59	thar	thar	1205	1205:new	20	0		189	tʰ a r
4591	Nusu	NUS	nung		nusu1239	new	59	ʒ́ɔ.55 ɔ.31	ʒ́ɔ⁵⁵_ɔ³¹	1511	1511:new	20	0	Stage 2	301	ʒʲ ɔ ⁵⁵ ◦ ɔ ³¹
4592	Geba	GEB	kar	Karen	geba1237	new	59	ʔəṭɛ.44	ʔəṭɛ⁴⁴	1511	1511:new	20	0		301	ʔ ə ◦ ʈ ɛ ⁴⁴
4593	Manu	MNU	kar	Karen	manu1255	new	59	sa.11	sa¹¹	1511	1511:new	20	0	Manumanaw Karen	301	s a ¹¹
4594	Alike Tibetan	ALI	tib		amdo1237	new	59	sho mæ	sho_mæ	1205	1205:new	20	0		189	sʰ o _ m æ
4595	Shixing	SHI	syc		shix1238	new	59	ṣɛ.55 hĩ.33	ṣɛ⁵⁵_hĩ³³	1511	1511:new	20	0		301	ʂ ɛ ⁵⁵ ◦ h ĩ ∼ ³³
4596	Aka	AKA	aka		akha1245	new	59	ekhəń	ekhəń	4334	4334:new	20	0		1105	e ◦ kʰ ə nʲ
4597	Nocte	NOC	knyk		noct1238	new	59	ańan	ańan	532	532:new	20	0		1366	a ◦ nʲ a n
4598	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	new	59	ṣɨ.13	ṣɨ¹³	1511	1511:new	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	301	ʂ ɨ ¹³
4599	Khaling	KLN	kir		khal1275	new	59	nin. L	nin_L	611	611:new	20	0		1405	n i n _
4600	Langsu-Maru	LAN	bur		maru1249	new	59	sak.55	sak⁵⁵	1511	1511:new	20	0		301	s a k ⁵⁵
4601	W. Kayah	KYH	kar	Karen	west2409	new	59	ćɛ.33	ćɛ³³	1511	1511:new	20	0	Kayah Western	301	tsʲ ɛ ³³
4602	Written Tibetan	WRT	tib	Tibetan	tibe1272	new	59	gsar  pa	gsar__pa	1205	1205:new	20	0		189	g s a r _ p a
4603	Nishi	NIS	tani	Nysha	nisi1238	new	59	nit	nit	611	611:new	20	0	Nisi?	1405	n i t
4604	Batang Tibetan	BAT	tib		kham1282	new	59	sɛ.55 ba.53	sɛ⁵⁵_ba⁵³	1205	1205:new	20	0		189	s ɛ ⁵⁵ ◦ b a ⁵³
4605	Gurung	GUR	gur		guru1261	new	59	cha:.2=ra	chaː²ra	1205	1205:new	20	0		189	tsʰ aː ² ◦ r a
4606	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	new	59	sa:.55 pa.55	saː⁵⁵_pa⁵⁵	1205	1205:new	20	0		189	s aː ⁵⁵ ◦ p a ⁵⁵
4607	Garo	GAR	bodo	Garo	garo1247	new	59	gital	gital	4479	4479:new	20	0		1225	g i ◦ t a l
4608	Hill-Miri	HIL	tani	Nysha	nyis1236	new	59	nite-ne	nite-ne	611	611:new	20	0		1405	n i ◦ t e + n e
4609	Limbu	LIM	kir		limb1266	new	59	kɔsɔN, kasaN	kɔsɔN	1135	1135:new	20	0		154	k ɔ ◦ s ɔ
4610	Upper-Bangni	UBA	tani		bang1338	new	59	nit	nit	611	611:new	20	0		1405	n i t
4612	Hakka	HKK	sino	Hakka	hakk1236	new	59	sin1	sin¹	1511	1511:new	20	0		301	s i n ¹
4613	Motuo-M	MOT	mot	Tibetan	dakp1242	new	59	siŋ ma	siŋ_ma	1511	1511:new	20	0	Tawang Monpa, Dakpakha?	301	s i ŋ _ m a
4614	Tujia	TUJ	tujia	Tujia	nort2732	new	59	a.3 si.1	a³_si¹	1511	1511:new	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	301	a ³ ◦ s i ¹
4615	Beijing	PEK	sino	CHB	mand1415	new	59	śīn 新	śīn	1511	1511:new	20	0		301	sʲ iː n
4616	Zhaba	ZHA	syc		zhab1238	new	59	a.21 sik.55	a²¹_sik⁵⁵	1511	1511:new	20	0	Stage 2	301	a ²¹ ◦ s i k ⁵⁵
4617	Kaike	KAY	kay		kaik1246	new	59	sɔr=ba  TIB?	sɔrba__TIB?	1205	1205:new	20	0		189	s ɔ r ◦ b a _
4618	Yintale	YIN	kar	Karen	yint1235	new	59	ʔa.11 ṣaŋ.35	ʔa¹¹_ṣaŋ³⁵	1511	1511:new	20	0	Yintale Karen	301	ʔ a ¹¹ ◦ ʂ a ŋ ³⁵
4619	Jinuo	JIN	bur	Jinuo	youl1235	new	59	ʃi.55	ʃi⁵⁵	1511	1511:new	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	301	ʃ i ⁵⁵
4620	Namuzi	NAM	syc		namu1246	new	59	sɨ.55 cɛ.33	sɨ⁵⁵_cɛ³³	1511	1511:new	20	0		301	s ɨ ⁵⁵ ◦ ts ɛ ³³
4621	Xiaxe Tibetan	XIA	tib		amdo1237	new	59	sho ma	sho_ma	1205	1205:new	20	0		189	sʰ o _ m a
4622	Lüsu	LUS	syc		lisu1250	new	59	ʒ́e.33 ʒ́e.33	ʒ́e³³_ʒ́e³³	4382	4382:new	20	0		1149	ʒʲ e ³³ ◦ ʒʲ e ³³
4623	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	new	59	aso	aso	1511	1511:new	20	0	Naga Yimchungru	301	a ◦ s o
4624	Liangmai	LIA	naga		lian1251	new	59	kašan	kašan	1511	1511:new	20	0		301	k a ◦ ʃ a n
4625	Dimasa	DIM	bodo		dima1251	new	59	gadaiŋ	gadaiŋ	4479	4479:new	20	0		1225	g a ◦ d a i ŋ
4626	Yeinbaw	YEI	kar	Karen	yinb1236	new	59	θi.55	θi⁵⁵	1511	1511:new	20	0	Yinbaw Karen	301	θ i ⁵⁵
4627	N-Qiang	QIA	syc		nort2722	new	59	kh=sə	khsə	1511	1511:new	20	0	Stage 2	301	kʰ s ə
4628	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	new	59	ṣɨ.55	ṣɨ⁵⁵	1511	1511:new	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	301	ʂ ɨ ⁵⁵
4629	Zeme	ZEM	naga		zeme1240	new	59	karchi=be	karchibe	1205	1205:new	20	0		189	k a r ◦ tsʰ i ◦ b e
4630	Jingpo	JNP	jnp		kach1280	new	59	n.31 nan.33	n³¹_nan³³	532	532:new	20	0	Jinghpaw; Stage 2	1366	n ³¹ ◦ n a n ³³
4631	Bodo	BOD	bodo		bodo1269	new	59	ga=dan	gadan	4479	4479:new	20	0		1225	g a ◦ d a n
4632	Fuzhou	FUZ	sino	Han	mind1253	new	59	siŋ55	siŋ⁵⁵	1511	1511:new	20	0		301	s i ŋ ⁵⁵
4633	Burmese	WRB	bur	Burmese	nucl1310	new	59	sac	sac	1511	1511:new	20	0		301	s a ts
4634	Horpa	DAO	syc		horp1239	new	59	xso xso	xso_xso	1511	1511:new	20	0		301	x s o _ x ◦ s o
4635	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	new	59	tasen	tasen	1511	1511:new	20	0	Naga Ao	301	t a ◦ s e n
4636	Padam	PAD	tani		pada1257	new	59	a-ni	a-ni	611	611:new	19	0		1405	a + n i
4637	Bola	BOL	bur		pela1242	new	59	sak.55	sak⁵⁵	1511	1511:new	20	0		301	s a k ⁵⁵
4638	Guiqiong	GUI	syc		guiq1238	new	59	sö.55 pö.55	sö⁵⁵_pö⁵⁵	1511	1511:new	20	0		301	s ö ⁵⁵ ◦ p ö ⁵⁵
4639	Gangte	GAN	chin		gang1266	new	59	thak	thak	1205	1205:new	20	0		189	tʰ a k
4640	Pochuri	POC	naga		poch1243	new	59	kɨrathe	kɨrathe	1205	1205:new	20	0		189	k ɨ ◦ r a ◦ tʰ e
4641	Lepcha	LEP	lep		lepc1244	new	59	car	car	1205	1205:new	20	0		189	ts a r
4642	Geker	GEK	kar	Karen	geko1235	night	60	[məɨʔ.53] na.22	_na²²	550	550:night	20	0	Geko Karen?	1377	n a ²²
4643	Phom	PHO	knyk		phom1236	night	60	ya	ya	1412	1412:night	20	0		254	y a
4644	Geba	GEB	kar	Karen	geba1237	night	60	[lu.22 mu.22] n	_n	550	550:night	20	0		1377	n
4645	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	night	60	mv.31 khv.13	mv³¹_khv¹³	2737	2737:night	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	781	m v ³¹ ◦ kʰ v ¹³
4646	Written Tibetan	WRT	tib	Tibetan	tibe1272	night	60	nam	nam	538	538:night	20	0		1369	n a m
4647	Hakka	HKK	sino	Hakka	hakk1236	night	60	ban4-ia4	ban⁴-ia⁴	2739	2739:night	20	0		783	b a n ⁴ ◦ + i a ⁴
4648	Jinuo	JIN	bur	Jinuo	youl1235	night	60	mhe.42 kha.42	mhe⁴²_kha⁴²	2737	2737:night	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	781	mʰ e ⁴² ◦ kʰ a ⁴²
4649	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	night	60	mv.33 khv.55	mv³³_khv⁵⁵	2737	2737:night	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	781	m v ³³ ◦ kʰ v ⁵⁵
4650	Quueyu	QUE	syc		quey1238	night	60	mche.55 TIB	mche⁵⁵_TIB	-1	-1-43	20	1		38	m tsʰ e ⁵⁵ ◦
4651	Dhimal	DHI	dhim		dhim1246	night	60	nhisanta	nhisanta	1209	1209:night	20	0		193	nʰ i ◦ s a n ◦ t a
4652	Apatari	APA	tani		apat1240	night	60	àyo	àyo	1412	1412:night	20	0		254	a y o
4653	Jianchuan Bai	BAI	sino		jian1239	night	60	xeN4 miɛ7	xeN⁴_miɛ⁸	2739	2739:night	20	0		783	x e ⁴ ◦ m i ɛ
4654	Jirel	JIR	tib		jire1238	night	60	gwa. L1=ka. L1	gwa_L¹ka_L¹	2737	2737:night	20	0		781	g w a _ ¹ ◦ k a _ ¹
4655	Old Chinese	OCH	sino	Han	oldc1244	night	60	lia(k) 夜	lia	1412	1412:night	-10	0		254	l i a
4656	Idu	IDU	idu		idum1241	night	60	a.3 boŋ.1 tioŋ.	a³_boŋ¹_tioŋ	4437	4437:night	20	0		1199	a ³ ◦ b o ŋ ¹ ◦ t i o ŋ
4657	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	night	60	zamo-lo	zamo-lo	1133	1133:night	20	0	Naga Lotha	152	z a ◦ m o + l o
4658	Lushai	LSH	chin		lush1249	night	60	za:n	zaːn	1412	1412:night	20	0		254	z aː n
4659	Lepcha	LEP	lep		lepc1244	night	60	nap	nap	551	551:night	20	0		1378	n a p
4660	Sgaw	SGO	kar	Karen	sgaw1245	night	60	mu.53 na.33 khɔ	mu⁵³_na³³_khɔ	550	550:night	20	0		1377	m u ⁵³ ◦ n a ³³ ◦ kʰ ɔ
4661	Rourou	ROU	nung		nusu1239	night	60	so.44 kɨ.55	so⁴⁴_kɨ⁵⁵	1534	1534:night	20	0		309	s o ⁴⁴ ◦ k ɨ ⁵⁵
4662	Chokri	CHO	naga		chok1243	night	60	tɨzɨ	tɨzɨ	1133	1133:night	20	0		152	t ɨ ◦ z ɨ
4663	Khezhama	KHE	naga		khez1235	night	60	cɨzɨ	cɨzɨ	1133	1133:night	20	0		152	ts ɨ ◦ z ɨ
4664	Dulong	DUL	trun		drun1238	night	60	dɔ.31 ʒa.55 dɨ:	dɔ³¹_ʒa⁵⁵_dɨː	2738	2738:night	20	0		782	d ɔ ³¹ ◦ ʒ a ⁵⁵ ◦ d ɨː
4665	Tangkul	TAN	naga		tang1336	night	60	ŋaya=šoŋ	ŋayašoŋ	1412	1412:night	20	0		254	ŋ a ◦ j a ◦ ʃ o ŋ
4666	Pa'O	PAO	kar	Karen	paok1235	night	60	mɨ.55.55 kheʔ.1	mɨ⁵⁵⁵⁵_kheʔ¹	2737	2737:night	20	0		781	m ɨ ⁵⁵/⁵⁵ ◦ kʰ e ʔ ¹
4667	Yamphu	YAM	kir		yamp1242	night	60	senda	senda	1209	1209:night	20	0		193	s e n ◦ d a
4668	Kulung	KUL	kir		kulu1253	night	60	se:pa	seːpa	1209	1209:night	20	0		193	s eː ◦ p a
4669	Geker	GEK	kar	Karen	geko1235	night	60	məɨʔ.53 na.22 k	məɨʔ⁵³_na²²_k	2737	2737:night	20	0	Geko Karen?	781	m ə ɨ ʔ ⁵³ ◦ n a ²² ◦ k
4670	Ersu	ERS	syc		ersu1241	night	60	nkhuar.55	nkhuar⁵⁵	4244	4244:night	20	0		1040	n kʰ u a r ⁵⁵
4671	Phom	PHO	knyk		phom1236	night	60	vaŋ=yak	vaŋyak	762	762:night	20	0		1474	v a ◦ ŋ y a k
4672	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	night	60	aya, aya=naŋ	aya	1412	1412:night	20	0	Naga Ao	254	a ◦ j a
4673	Sherpa	SHE	tib	Sherpa	sher1255	night	60	nup. LR	nup_LR	551	551:night	20	0	Solu-Khumbu Sherpa	1378	n u p
4674	Rawang	RAW	trun		rawa1265	night	60	ya diŋ	ya_diŋ	2738	2738:night	20	0		782	y a _ d i ŋ
4675	Wancho	WAN	knyk		wanc1238	night	60	raŋ=nak	raŋnak	762	762:night	20	0		1474	r a ŋ ◦ n a k
4676	Bokar	BOK	tani		bori1243	night	60	a yo:	a_yoː	1412	1412:night	20	0	Stage 2	254	a _ y oː
4677	Rabha	RAB	bodo		rabh1238	night	60	phar	phar	4244	4244:night	20	0		1040	pʰ a r
4678	Hmar	HMA	chin		hmar1241	night	60	za:n	zaːn	1412	1412:night	20	0		254	z aː n
4679	Nusu	NUS	nung		nusu1239	night	60	suɔr.35	suɔr³⁵	1534	1534:night	20	0	Stage 2	309	s u ɔ r ³⁵
4680	Geba	GEB	kar	Karen	geba1237	night	60	lu.22 mu.22 nɛ.	lu²²_mu²²_nɛ	2737	2737:night	20	0		781	l u ²² ◦ m u ²² ◦ n ɛ
4681	Manu	MNU	kar	Karen	manu1255	night	60	lv.11 mø̣.33 k	lv¹¹_mø̣³³_k	2737	2737:night	20	0	Manumanaw Karen	781	l v ¹¹ ◦ m ø̰ ³³ ◦ k
4682	Alike Tibetan	ALI	tib		amdo1237	night	60	nən mo EE	nən_mo_EE	538	538:night	20	0		1369	n ə n _ m o _
4683	Shixing	SHI	syc		shix1238	night	60	o.55 qhoa.33	o⁵⁵_qhoa³³	4244	4244:night	20	0		1040	o ⁵⁵ ◦ q h o a ³³
4684	Aka	AKA	aka		akha1245	night	60	ńegi	ńegi	2737	2737:night	20	0		781	nʲ e ◦ g i
4685	Nocte	NOC	knyk		noct1238	night	60	raŋ=pan	raŋpan	4278	4278:night	20	0		1062	r a ŋ ◦ p a n
4686	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	night	60	mv.31 khv.13	mv³¹_khv¹³	2739	2739:night	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	783	m v ³¹ ◦ kʰ v ¹³
4687	Khaling	KLN	kir		khal1275	night	60	sene.H	seneH	1209	1209:night	20	0		193	s e ◦ n e
4688	Langsu-Maru	LAN	bur		maru1249	night	60	mji.55	mji⁵⁵	2739	2739:night	20	0		783	m j i ⁵⁵
4689	W. Kayah	KYH	kar	Karen	west2409	night	60	mɔ̣.44 khi.55	mɔ̣⁴⁴_khi⁵⁵	2737	2737:night	20	0	Kayah Western	781	m ɔ̰ ⁴⁴ ◦ kʰ i ⁵⁵
4690	Written Tibetan	WRT	tib	Tibetan	tibe1272	night	60	mchan mo	mchan_mo	1209	1209:night	20	0		193	m tsʰ a n _ m o
4691	Nishi	NIS	tani	Nysha	nisi1238	night	60	ayi	ayi	1412	1412:night	20	0	Nisi?	254	a y i
4692	Batang Tibetan	BAT	tib		kham1282	night	60	chẽ.55 ri.55	chẽ⁵⁵_ri⁵⁵	1209	1209:night	20	0		193	tsʰ ẽ ∼ ⁵⁵ ◦ r i ⁵⁵
4693	Dumi	DUM	kir		dumi1241	night	60	si:na	siːna	1209	1209:night	20	0		193	s iː ◦ n a
