DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Ao-Chungli	chon1286	639	MOUNTAIN	55	tenem	560	t e n e m	Naga Ao
Garo	garo1247	639	MOUNTAIN	55	a-bri	598	a + b r i	
Sherpa	sher1255	639	MOUNTAIN	55	khɛ_LF	244	kʰ ɛ	Solu-Khumbu Sherpa
Manu	manu1255	639	MOUNTAIN	55	kha³³_lø̣¹¹	148	kʰ a ³³ _ l ø̰ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	639	MOUNTAIN	55	ʃhvu¹¹	336	ʃʰ v u ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	639	MOUNTAIN	55	tɨkoŋ	227	t ɨ k o ŋ	Naga Ao
Yimchunrü	yimc1240	639	MOUNTAIN	55	mɨzɨŋ	336	m ɨ z ɨ ŋ	Naga Yimchungru
Burmese	nucl1310	639	MOUNTAIN	55	tauŋ	22	t a u ŋ	
Lhasa Tibetan	tibe1272	639	MOUNTAIN	55	ri¹³	598	r i ¹³	
Jinuo	youl1235	639	MOUNTAIN	55	ɣɨ⁴²_tha⁵⁵	598	ɣ ɨ ⁴² _ tʰ a ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Written Tibetan	tibe1272	639	MOUNTAIN	55	la	148	l a	
Ninglang-Naxi	naxi1245	639	MOUNTAIN	55	ʒ́i³¹_ɣo¹³	598	ʒʲ i ³¹ _ ɣ o ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Nishi	nisi1238	674	MOUTH	56	nəhi	461	n ə h i	Nisi?
Geker	geko1235	674	MOUTH	56	khaʔ⁵³_kəɨ⁴⁴	247	kʰ a ʔ ⁵³ _ k ə ɨ ⁴⁴	Geko Karen?
Geba	geba1237	674	MOUTH	56	kəkɔʔ⁵³_p̯u³³	385	k ə k ɔ ʔ ⁵³ _ p̯ u ³³	
Lijiang-Naxi	lich1241	674	MOUTH	56	nv⁵⁵_ta³³	304	n v ⁵⁵ _ t a ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	674	MOUTH	56	mhö⁴⁴_mhö⁴⁴	304	mʰ ö ⁴⁴ _ mʰ ö ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	674	MOUTH	56	no_waŋ	304	n o _ w a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	674	MOUTH	56	kɔʔ⁵³_p̯ụ³³	385	k ɔ ʔ ⁵³ _ p̯ ṵ ³³	
Lhota	loth1237	674	MOUTH	56	oːpaŋ	392	oː p a ŋ	Naga Lotha
Tujia	nort2732	674	MOUTH	56	ca³_ćhi¹	48	ts a ³ _ tsʲʰ i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	674	MOUTH	56	kha⁵⁵_khu³³	247	kʰ a ⁵⁵ _ kʰ u ³³	Yintale Karen
Hill-Miri	nyis1236	674	MOUTH	56	nepti	461	n e p t i	
Pa'O	paok1235	674	MOUTH	56	phrɔŋ⁵⁵y	520	pʰ r ɔ ŋ ⁵⁵ y	
W. Kayah	west2409	674	MOUTH	56	kha³³_ʔu¹¹	247	kʰ a ³³ _ ʔ u ¹¹	Kayah Western
Written Tibetan	tibe1272	674	MOUTH	56	kha	290	kʰ a	
Ninglang-Naxi	naxi1245	674	MOUTH	56	ńi³³_to³³	304	nʲ i ³³ _ t o ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	674	MOUTH	56	tebaŋ	392	t e b a ŋ	Naga Ao
Garo	garo1247	674	MOUTH	56	ku-sik	247	k u + s i k	
Sherpa	sher1255	674	MOUTH	56	khaHR	290	kʰ a	Solu-Khumbu Sherpa
Manu	manu1255	674	MOUTH	56	khu⁴⁴_phiɛ⁴⁴	247	kʰ u ⁴⁴ _ pʰ i ɛ ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	674	MOUTH	56	kạu¹¹_ko⁵⁵	498	k a̰ u ¹¹ _ k o ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	674	MOUTH	56	tɨpaŋ	392	t ɨ p a ŋ	Naga Ao
Yimchunrü	yimc1240	674	MOUTH	56	mɨn	139	m ɨ n	Naga Yimchungru
Burmese	nucl1310	674	MOUTH	56	paː_cap	419	p aː _ ts a p	
Lhasa Tibetan	tibe1272	674	MOUTH	56	kha⁵⁵	290	kʰ a ⁵⁵	
Hill-Miri	nyis1236	674	MOUTH	56	agom	237	a g o m	
Manu	manu1255	674	MOUTH	56	khu⁴⁴_phiɛ⁴⁴	520	kʰ u ⁴⁴ _ pʰ i ɛ ⁴⁴	Manumanaw Karen
Geker	geko1235	1405	NAME	57	mi³³	581	m i ³³	Geko Karen?
Geba	geba1237	1405	NAME	57	kəshɔʔ⁵³_mi⁴⁴	581	k ə sʰ ɔ ʔ ⁵³ _ m i ⁴⁴	
Lijiang-Naxi	lich1241	1405	NAME	57	mi³¹	581	m i ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1405	NAME	57	a³³_mhe⁴⁴	581	a ³³ _ mʰ e ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1405	NAME	57	miŋ	581	m i ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1405	NAME	57	mị³³	581	m ḭ ³³	
Lhota	loth1237	1405	NAME	57	oːmyaŋ	581	oː m y a ŋ	Naga Lotha
Tujia	nort2732	1405	NAME	57	min⁴_ci⁴	581	m i n ⁴ _ ts i ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1405	NAME	57	mĩ¹¹	581	m ĩ ∼ ¹¹	Yintale Karen
Hill-Miri	nyis1236	1405	NAME	57	emine	581	e m i n e	
Pa'O	paok1235	1405	NAME	57	min²²²²	581	m i n ²²/²²	
W. Kayah	west2409	1405	NAME	57	mụi¹¹	581	m ṵ i ¹¹	Kayah Western
Written Tibetan	tibe1272	1405	NAME	57	miŋ	581	m i ŋ	
Ninglang-Naxi	naxi1245	1405	NAME	57	mv³³	581	m v ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1405	NAME	57	tenɨŋ	581	t e n ɨ ŋ	Naga Ao
Garo	garo1247	1405	NAME	57	bimuŋ	581	b i m u ŋ	
Sherpa	sher1255	1405	NAME	57	min_LF	581	m i n	Solu-Khumbu Sherpa
Manu	manu1255	1405	NAME	57	mị¹¹	581	m ḭ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1405	NAME	57	mjɨ̣̃³³	581	m j ɨ̰ ∼ ³³	Yinbaw Karen
Ao-Mongsen	mong1332	1405	NAME	57	teniŋ	581	t e n i ŋ	Naga Ao
Yimchunrü	yimc1240	1405	NAME	57	amɨŋ	581	a m ɨ ŋ	Naga Yimchungru
Burmese	nucl1310	1405	NAME	57	amań	581	a m a nʲ	
Lhasa Tibetan	tibe1272	1405	NAME	57	miŋ¹³	581	m i ŋ ¹³	
Kusunda	kusu1250	1405	NAME	64	gidzi	0	g i dz i	
Geker	geko1235	1942	NEAR	103	phɨʔ⁵³_theiʔ⁵	211	pʰ ɨ ʔ ⁵³ _ tʰ e i ʔ ⁵	Geko Karen?
Geba	geba1237	1942	NEAR	103	b̄ũʔ⁵³_thi²²	516	b̄ ũ ∼ ʔ ⁵³ _ tʰ i ²²	
Lijiang-Naxi	lich1241	1942	NEAR	103	nv⁵⁵	565	n v ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1942	NEAR	103	ćɛ⁴²	50	tsʲ ɛ ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1942	NEAR	103	_thum_bi	9	tʰ u m _ b i	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1942	NEAR	103	b̄uʔ⁵³	516	b̄ u ʔ ⁵³	
Lhota	loth1237	1942	NEAR	103	eŋhyaːno	565	e ŋʰ y aː n o	Naga Lotha
Tujia	nort2732	1942	NEAR	103	coŋ²	124	ts o ŋ ²	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1942	NEAR	103	ʔa¹¹_phuŋ³³	211	ʔ a ¹¹ _ pʰ u ŋ ³³	Yintale Karen
Pa'O	paok1235	1942	NEAR	103	bɔʔ⁵⁵⁵⁵	516	b ɔ ʔ ⁵⁵/⁵⁵	
W. Kayah	west2409	1942	NEAR	103	phɨ¹¹	211	pʰ ɨ ¹¹	Kayah Western
Written Tibetan	tibe1272	1942	NEAR	103	_ńe_	565	nʲ e	
Ninglang-Naxi	naxi1245	1942	NEAR	103	źə³¹_ńi¹³	565	zʲ ə ³¹ _ nʲ i ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1942	NEAR	103	anasa	49	a n a s a	Naga Ao
Garo	garo1247	1942	NEAR	103	sepaŋ	211	s e p a ŋ	
Sherpa	sher1255	1942	NEAR	103	cip-lɛ_LR	420	ts i p + l ɛ	Solu-Khumbu Sherpa
Manu	manu1255	1942	NEAR	103	phu⁴⁴	211	pʰ u ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	1942	NEAR	103	phɨ⁵⁵	211	pʰ ɨ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1942	NEAR	103	unha	49	u nʰ a	Naga Ao
Yimchunrü	yimc1240	1942	NEAR	103	khiuŋto	485	kʰ i u ŋ t o	Naga Yimchungru
Burmese	nucl1310	1942	NEAR	103	niː	565	n iː	
Lhasa Tibetan	tibe1272	1942	NEAR	103	thaʔ⁵³_ńe¹³	565	tʰ a ʔ ⁵³ _ nʲ e ¹³	
Kusunda	kusu1250	1942	NEAR	147	ista	0	i s t a	
Nishi	nisi1238	1333	NECK	58	luːgu	153	l uː g u	Nisi?
Lijiang-Naxi	lich1241	1333	NECK	58	ćər³³	421	tsʲ ə r ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1333	NECK	58	lə⁴²_chə⁵⁵	153	l ə ⁴² _ tsʰ ə ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1333	NECK	58	ŋaŋ	338	ŋ a ŋ	Tawang Monpa, Dakpakha?
Lhota	loth1237	1333	NECK	58	eŋu	274	e ŋ u	Naga Lotha
Tujia	nort2732	1333	NECK	58	khoŋ¹_ti¹	274	kʰ o ŋ ¹ _ t i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Hill-Miri	nyis1236	1333	NECK	58	lipo	153	l i p o	
Written Tibetan	tibe1272	1333	NECK	58	ske	337	s k e	
Ninglang-Naxi	naxi1245	1333	NECK	58	ɣa³³_tv⁵⁵	641	ɣ a ³³ _ t v ⁵⁵	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1333	NECK	58	tɨ→khuŋ→len	274	t ɨ + kʰ u ŋ + l e n	Naga Ao
Garo	garo1247	1333	NECK	58	git_dok	641	g i t _ d o k	
Sherpa	sher1255	1333	NECK	58	ʒinhbɛ_LF	153	ʒ i nʰ b ɛ	Solu-Khumbu Sherpa
Ao-Mongsen	mong1332	1333	NECK	58	ŋan	338	ŋ a n	Naga Ao
Yimchunrü	yimc1240	1333	NECK	58	ahuŋ	274	a h u ŋ	Naga Yimchungru
Burmese	nucl1310	1333	NECK	58	lań_paŋː	153	l a nʲ _ p a ŋː	
Lhasa Tibetan	tibe1272	1333	NECK	58	ke⁵⁵	337	k e ⁵⁵	
Nishi	nisi1238	1333	NECK	58	luːgu	274	l uː g u	Nisi?
Lijiang-Naxi	lich1241	1333	NECK	58	ćər³³	421	tsʲ ə r ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1333	NECK	58	lə⁴²_chə⁵⁵	421	l ə ⁴² _ tsʰ ə ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Hill-Miri	nyis1236	1333	NECK	58	lipo	428	l i p o	
Written Tibetan	tibe1272	1333	NECK	58	mʒ́iŋ_pa	153	m dʒ i ŋ _ p a	
Lhasa Tibetan	tibe1272	1333	NECK	58	ćiŋ¹³_pə⁵⁵	153	tsʲ i ŋ ¹³ _ p ə ⁵⁵	
Nishi	nisi1238	1231	NEW	59	nit	578	n i t	Nisi?
Geker	geko1235	1231	NEW	59	ṭaː⁵³	112	ʈ aː ⁵³	Geko Karen?
Geba	geba1237	1231	NEW	59	ʔəṭɛ⁴⁴	112	ʔ ə ʈ ɛ ⁴⁴	
Lijiang-Naxi	lich1241	1231	NEW	59	ṣɨ⁵⁵	112	ʂ ɨ ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1231	NEW	59	ʃi⁵⁵	112	ʃ i ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1231	NEW	59	siŋ_ma	112	s i ŋ _ m a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1231	NEW	59	ʔəṭɔː⁴⁴	112	ʔ ə ʈ ɔː ⁴⁴	
Lhota	loth1237	1231	NEW	59	ethã	59	e tʰ ã ∼	Naga Lotha
Tujia	nort2732	1231	NEW	59	a³_si¹	112	a ³ _ s i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1231	NEW	59	ʔa¹¹_ṣaŋ³⁵	112	ʔ a ¹¹ _ ʂ a ŋ ³⁵	Yintale Karen
Hill-Miri	nyis1236	1231	NEW	59	nite-ne	578	n i t e + n e	
Pa'O	paok1235	1231	NEW	59	tə⁵⁵_sa³³	112	t ə ⁵⁵ _ s a ³³	
W. Kayah	west2409	1231	NEW	59	ćɛ³³	112	tsʲ ɛ ³³	Kayah Western
Written Tibetan	tibe1272	1231	NEW	59	gsar__pa	59	g s a r _ p a	
Ninglang-Naxi	naxi1245	1231	NEW	59	ṣɨ¹³	112	ʂ ɨ ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1231	NEW	59	tasen	112	t a s e n	Naga Ao
Garo	garo1247	1231	NEW	59	gital	487	g i t a l	
Sherpa	sher1255	1231	NEW	59	sam→bɛHF	59	s a m + b ɛ	Solu-Khumbu Sherpa
Manu	manu1255	1231	NEW	59	sa¹¹	112	s a ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1231	NEW	59	θi⁵⁵	112	θ i ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1231	NEW	59	tesen	112	t e s e n	Naga Ao
Yimchunrü	yimc1240	1231	NEW	59	aso	112	a s o	Naga Yimchungru
Burmese	nucl1310	1231	NEW	59	sac	112	s a ts	
Lhasa Tibetan	tibe1272	1231	NEW	59	saː⁵⁵_pa⁵⁵	59	s aː ⁵⁵ _ p a ⁵⁵	
Kusunda	kusu1250	1231	NEW	30	dzjn	0	dz j n	
Geker	geko1235	1233	NIGHT	60	_na²²	563	n a ²²	Geko Karen?
Geba	geba1237	1233	NIGHT	60	_n	563	n	
Lijiang-Naxi	lich1241	1233	NIGHT	60	mv³³_khv⁵⁵	339	m v ³³ _ kʰ v ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1233	NIGHT	60	mhe⁴²_kha⁴²	339	mʰ e ⁴² _ kʰ a ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Written Tibetan	tibe1272	1233	NIGHT	60	nam	561	n a m	
Ninglang-Naxi	naxi1245	1233	NIGHT	60	mv³¹_khv¹³	339	m v ³¹ _ kʰ v ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Nishi	nisi1238	1233	NIGHT	60	ayi	96	a y i	Nisi?
Geker	geko1235	1233	NIGHT	60	məɨʔ⁵³_na²²_k	339	m ə ɨ ʔ ⁵³ _ n a ²² _ k	Geko Karen?
Geba	geba1237	1233	NIGHT	60	lu²²_mu²²_nɛ	339	l u ²² _ m u ²² _ n ɛ	
Lijiang-Naxi	lich1241	1233	NIGHT	60	mv³³_khv⁵⁵	341	m v ³³ _ kʰ v ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1233	NIGHT	60	mhe⁴²_kha⁴²	341	mʰ e ⁴² _ kʰ a ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1233	NIGHT	60	bi_naŋ	563	b i _ n a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1233	NIGHT	60	mu⁵³_na³³_khɔ	563	m u ⁵³ _ n a ³³ _ kʰ ɔ	
Lhota	loth1237	1233	NIGHT	60	zamo-lo	42	z a m o + l o	Naga Lotha
Tujia	nort2732	1233	NIGHT	60	lan³_jin¹_ch	530	l a n ³ _ j i n ¹ _ tsʰ	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1233	NIGHT	60	mɨ¹¹_khi⁵⁵	339	m ɨ ¹¹ _ kʰ i ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1233	NIGHT	60	tidi	340	t i d i	
Pa'O	paok1235	1233	NIGHT	60	mɨ⁵⁵⁵⁵_kheʔ¹	339	m ɨ ⁵⁵/⁵⁵ _ kʰ e ʔ ¹	
W. Kayah	west2409	1233	NIGHT	60	mɔ̣⁴⁴_khi⁵⁵	339	m ɔ̰ ⁴⁴ _ kʰ i ⁵⁵	Kayah Western
Written Tibetan	tibe1272	1233	NIGHT	60	mchan_mo	61	m tsʰ a n _ m o	
Ninglang-Naxi	naxi1245	1233	NIGHT	60	mv³¹_khv¹³	341	m v ³¹ _ kʰ v ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1233	NIGHT	60	aonuŋ,_amaŋ	136	a o n u ŋ	Naga Ao
Garo	garo1247	1233	NIGHT	60	wal	445	w a l	
Sherpa	sher1255	1233	NIGHT	60	nup_LR	564	n u p	Solu-Khumbu Sherpa
Manu	manu1255	1233	NIGHT	60	lv¹¹_mø̣³³_k	339	l v ¹¹ _ m ø̰ ³³ _ k	Manumanaw Karen
Yeinbaw	yinb1236	1233	NIGHT	60	mɨ̣̃¹¹_ha⁵⁵	213	m ɨ̰ ∼ ¹¹ _ h a ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1233	NIGHT	60	aya,_aya→naŋ	96	a j a	Naga Ao
Yimchunrü	yimc1240	1233	NIGHT	60	ažiŋ	42	a dʒ i ŋ	Naga Yimchungru
Burmese	nucl1310	1233	NIGHT	60	ńa	96	nʲ a	
Lhasa Tibetan	tibe1272	1233	NIGHT	60	chɛ̃⁵⁵_mo⁵⁵	61	tsʰ ɛ̃ ∼ ⁵⁵ _ m o ⁵⁵	
Kusunda	kusu1250	1233	NIGHT	14	iŋgao	0	i ŋ g a o	
Nishi	nisi1238	1221	NOSE	61	ńip-pum	556	nʲ i p + p u m	Nisi?
Geker	geko1235	1221	NOSE	61	nəphu⁴⁴	556	n ə pʰ u ⁴⁴	Geko Karen?
Geba	geba1237	1221	NOSE	61	kəni³³_khəde⁴	624	k ə n i ³³ _ kʰ ə d e ⁴	
Lijiang-Naxi	lich1241	1221	NOSE	61	ńi⁵⁵_mər³¹	556	nʲ i ⁵⁵ _ m ə r ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1221	NOSE	61	nhɔ⁴²_to⁴⁴	556	nʰ ɔ ⁴² _ t o ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1221	NOSE	61	na_wuŋ	556	n a _ w u ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1221	NOSE	61	na²²_d̄e⁴⁴	556	n a ²² _ d̄ e ⁴⁴	
Lhota	loth1237	1221	NOSE	61	kenno	556	k e n n o	Naga Lotha
Tujia	nort2732	1221	NOSE	61	ən³_ćhi¹	556	ə n ³ _ tsʲʰ i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1221	NOSE	61	nãŋ³³_khɛ⁵⁵	556	n ã ∼ ŋ ³³ _ kʰ ɛ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1221	NOSE	61	ńipum	556	nʲ i p u m	
Pa'O	paok1235	1221	NOSE	61	baj³³⁴⁴	257	b a j ³³/⁴⁴	
W. Kayah	west2409	1221	NOSE	61	nị⁴⁴_nạ¹¹	556	n ḭ ⁴⁴ _ n a̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1221	NOSE	61	sna	556	s n a	
Ninglang-Naxi	naxi1245	1221	NOSE	61	ńi³³_gə³³	556	nʲ i ³³ _ g ə ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1221	NOSE	61	teni	556	t e n i	Naga Ao
Garo	garo1247	1221	NOSE	61	giŋ	370	g i ŋ	
Sherpa	sher1255	1221	NOSE	61	na→wuHF	556	n a + w u	Solu-Khumbu Sherpa
Manu	manu1255	1221	NOSE	61	nɔ̣¹¹_ʃhøə³	556	n ɔ̰ ¹¹ _ ʃʰ ø ə ³	Manumanaw Karen
Yeinbaw	yinb1236	1221	NOSE	61	kṿ¹¹_bu⁵⁵	257	k v̩ ¹¹ _ b u ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1221	NOSE	61	tena	556	t e n a	Naga Ao
Yimchunrü	yimc1240	1221	NOSE	61	nuboŋ	556	n u b o ŋ	Naga Yimchungru
Burmese	nucl1310	1221	NOSE	61	hna_khauŋː	556	h n a _ kʰ a u ŋː	
Lhasa Tibetan	tibe1272	1221	NOSE	61	nə⁵⁵_ku⁵²	556	n ə ⁵⁵ _ k u ⁵²	
Geker	geko1235	1221	NOSE	61	nəphu⁴⁴	257	n ə pʰ u ⁴⁴	Geko Karen?
Sgaw	sgaw1245	1221	NOSE	61	na²²_d̄e⁴⁴	624	n a ²² _ d̄ e ⁴⁴	
Yintale	yint1235	1221	NOSE	61	nãŋ³³_khɛ⁵⁵	556	n ã ∼ ŋ ³³ _ kʰ ɛ ⁵⁵	Yintale Karen
Kusunda	kusu1250	1221	NOSE	85	inw̃	0	i n w̃	
Nishi	nisi1238	1240	NOT	62	ma	573	m a	Nisi?
Geker	geko1235	1240	NOT	62	ḍŋəo⁴⁴_ma³¹	573	ɖ ŋ ə o ⁴⁴ _ m a ³¹	Geko Karen?
Geba	geba1237	1240	NOT	62	me⁴⁴_mɛ̃ʔ⁵³	573	m e ⁴⁴ _ m ɛ̃ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1240	NOT	62	mə³³	573	m ə ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1240	NOT	62	mə⁴⁴	573	m ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1240	NOT	62	ma	573	m a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1240	NOT	62	mạ³³	573	m a̰ ³³	
Lhota	loth1237	1240	NOT	62	me	573	m e	Naga Lotha
Tujia	nort2732	1240	NOT	62	tha¹	615	tʰ a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1240	NOT	62	ma¹¹	573	m a ¹¹	Yintale Karen
Hill-Miri	nyis1236	1240	NOT	62	ma	573	m a	
Pa'O	paok1235	1240	NOT	62	ma²²mɨ⁵⁵_nau	573	m a ²² m ɨ ⁵⁵ _ n a u	
W. Kayah	west2409	1240	NOT	62	təmẹ⁴⁴	573	t ə m ḛ ⁴⁴	Kayah Western
Written Tibetan	tibe1272	1240	NOT	62	mi	573	m i	
Ninglang-Naxi	naxi1245	1240	NOT	62	mə³³	573	m ə ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1240	NOT	62	nuŋa	573	n u ŋ a	Naga Ao
Garo	garo1247	1240	NOT	62	oŋ-ja	450	o ŋ + j a	
Sherpa	sher1255	1240	NOT	62	me_LR	573	m e	Solu-Khumbu Sherpa
Yeinbaw	yinb1236	1240	NOT	62	cɨ⁴⁴_mṿ²²	573	ts ɨ ⁴⁴ _ m v̩ ²²	Yinbaw Karen
Ao-Mongsen	mong1332	1240	NOT	62	noŋo	573	n o ŋ o	Naga Ao
Yimchunrü	yimc1240	1240	NOT	62	mu	573	m u	Naga Yimchungru
Burmese	nucl1310	1240	NOT	62	ma	573	m a	
Lhasa Tibetan	tibe1272	1240	NOT	62	mi¹³	573	m i ¹³	
Nishi	nisi1238	1493	ONE	63	akin	225	a k i n	Nisi?
Geker	geko1235	1493	ONE	63	təprạ³³	629	t ə p r a̰ ³³	Geko Karen?
Geba	geba1237	1493	ONE	63	t̯əbwɛ³³	629	ʈ ə b w ɛ ³³	
Lijiang-Naxi	lich1241	1493	ONE	63	ndɨ¹³	629	n d ɨ ¹³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1493	ONE	63	thi⁴⁴	629	tʰ i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1493	ONE	63	thor	621	tʰ o r	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1493	ONE	63	təɣạ³³	629	t ə ɣ a̰ ³³	
Lhota	loth1237	1493	ONE	63	macaŋa	488	m a ts a ŋ a	Naga Lotha
Tujia	nort2732	1493	ONE	63	la³	155	l a ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1493	ONE	63	tə¹¹	629	t ə ¹¹	Yintale Karen
Hill-Miri	nyis1236	1493	ONE	63	aken	225	a k e n	
Pa'O	paok1235	1493	ONE	63	lo⁴⁴_tə⁴⁴	629	l o ⁴⁴ _ t ə ⁴⁴	
W. Kayah	west2409	1493	ONE	63	təprɛ̣¹¹	629	t ə p r ɛ̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1493	ONE	63	gćig	629	g tsʲ i g	
Ninglang-Naxi	naxi1245	1493	ONE	63	dɨ³³	629	d ɨ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1493	ONE	63	akha	207	a kʰ a	Naga Ao
Garo	garo1247	1493	ONE	63	sa	121	s a	
Sherpa	sher1255	1493	ONE	63	čikHF	629	tʃ i k	Solu-Khumbu Sherpa
Manu	manu1255	1493	ONE	63	təpwạ¹¹	629	t ə p w a̰ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1493	ONE	63	tərṿ³³	629	t ə r v̩ ³³	Yinbaw Karen
Ao-Mongsen	mong1332	1493	ONE	63	chie	207	tsʰ i e	Naga Ao
Yimchunrü	yimc1240	1493	ONE	63	kat_LOAN	2	k a t _ ŋʊʎʎ	Naga Yimchungru
Burmese	nucl1310	1493	ONE	63	tac	629	t a ts	
Lhasa Tibetan	tibe1272	1493	ONE	63	ći⁵²	629	tsʲ i ⁵²	
Kusunda	kusu1250	1493	ONE	66	qasn	0	q a s n	
Geker	geko1235	683	PERSON	64	pra³³	376	p r a ³³	Geko Karen?
Geba	geba1237	683	PERSON	64	bja³³	376	b j a ³³	
Lijiang-Naxi	lich1241	683	PERSON	64	ći³³	467	tsʲ i ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
